@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L179","3","0","13","2","1","1302","0","false"
"L180","1","0","118","2","1","1302","0","false"
"L181","1","0","46","21","1","1302","0","false"
"L182","110","0","686","3","1","1302","0","false"
"L183","1","0","25","2","1","1302","0","false"
"L184","3","0","335","41","1","1302","2","false"
"L185","1","0","104","18","1","1302","3","false"
"L186","2","0","121","10","2","1302","1","false"
"L187","13","0","188","9","1","1302","0","false"
"L188","3","0","31","10","1","1302","1","false"
"L189","1","0","64","10","1","1302","0","false"
"L190","55","0","182","4","1","1302","0","false"
"L191","52","0","502","41","1","1302","1","false"
"L192","2","0","35","23","1","1302","1","false"
"L193","3","0","90","27","1","1302","1","false"
"L194","1","0","16","4","1","1302","1","false"
"L195","1","0","10","4","1","1302","0","false"
"L196","9","0","71","6","1","1302","2","false"
"L197","12","0","124","7","1","1302","1","false"
"L198","12","0","91","5","1","1302","0","false"
"L199","1","0","55","4","1","1302","0","false"
"L200","5","0","34","2","1","1302","0","false"
"L201","5","0","89","5","1","1302","0","false"
"L202","7","0","91","2","1","1302","0","false"
"L203","2","0","17","3","1","1302","1","false"
"L204","1","0","54","4","1","1302","0","false"
"L205","2","0","14","4","1","1302","2","false"
"L206","1","0","31","4","1","1302","1","false"
"L207","1","0","44","4","1","1302","0","false"
"L208","1","0","25","4","1","1302","0","false"
"L209","6","0","82","4","1","1302","0","false"
"L210","13","0","163","4","1","1302","0","false"
"L211","5","0","29","1","1","1302","1","false"
"L212","1","0","41","1","1","1302","1","false"
"L213","1","0","54","2","1","1302","1","false"
"L214","1","0","32","2","1","1302","1","false"
"L215","2","0","26","1","1","1302","1","false"
"L216","1","0","15","1","1","1302","1","false"
"L217","4","0","78","1","1","1302","1","false"
"L218","6","0","73","1","1","1302","1","false"
"L219","6","0","43","11","1","1302","0","false"
"L220","23","0","214","10","1","1302","0","false"
"L221","6","0","50","9","1","1302","0","false"
"L222","4","0","52","3","1","1302","0","false"
"L223","1","0","22","4","2","1302","0","false"
"L224","5","0","51","3","1","1302","0","false"
"L225","2","0","53","3","1","1302","1","false"
"L226","2","0","20","5","1","1302","2","false"
"L227","1","0","11","2","1","1302","0","false"
"L228","1","0","25","1","1","1302","0","false"
"L229","1","0","159","12","2","1302","1","false"
"L230","6","0","134","4","1","1302","0","false"
"L231","4","0","16","1","1","1302","1","false"
"L232","6","0","109","9","2","1302","0","false"
"L233","196","0","1334","6","2","1302","0","false"
"L234","16","0","44","5","1","1302","0","false"
"L235","3","0","20","4","1","1302","0","false"
"L236","1","0","71","1","1","1302","0","false"
"L237","42","0","289","17","1","1302","0","false"
"L238","3","0","110","11","1","1302","0","false"
"L239","32","0","88","1","1","1302","0","false"
"L240","1","0","67","8","1","1302","0","false"
"L241","28","0","63","1","1","1302","0","false"
"L242","45","0","634","35","1","1302","6","false"
"L243","23","0","308","19","2","1302","2","false"
"L244","1","0","33","6","1","1302","0","false"
"L245","3","0","83","11","1","1302","1","false"
"L246","11","0","102","15","1","1302","2","false"
"L247","27","0","356","28","1","1302","1","false"
"L248","1","0","9","2","1","1302","0","false"
"L249","2","0","37","2","1","1302","1","false"
"L250","13","0","146","20","1","1302","3","false"
"L251","4","0","18","20","2","1302","2","false"
"L252","5","0","91","2","1","1302","0","false"
"L253","1375","0","11297","3","1","1302","0","false"
"L254","1","0","76","8","1","1302","1","false"
"L255","23","0","192","13","1","1302","5","false"
"L256","6","0","98","10","1","1302","1","false"
