"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of previous modifications","Number of previous fixes","Number of committers","Number of bugs"
"L138","AbstractSimpleRecord.java","hazelcast/src/main/java/com/hazelcast/impl/AbstractSimpleRecord.java","L135","4","0","226","753","22","1","5","0"
"L139","AddressPicker.java","hazelcast/src/main/java/com/hazelcast/impl/AddressPicker.java","L135","64","0","317","831","73","2","7","0"
"L140","AsyncCall.java","hazelcast/src/main/java/com/hazelcast/impl/AsyncCall.java","L135","7","0","53","753","13","0","5","0"
"L141","AtomicNumberProxy.java","hazelcast/src/main/java/com/hazelcast/impl/AtomicNumberProxy.java","L135","1","0","11","1118","6","0","2","0"
"L142","AtomicNumberProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/AtomicNumberProxyImpl.java","L135","8","0","185","1118","5","0","2","0"
"L143","BaseManager.java","hazelcast/src/main/java/com/hazelcast/impl/BaseManager.java","L135","186","0","1292","2899","257","7","7","1"
"L144","BlockingQueueManager.java","hazelcast/src/main/java/com/hazelcast/impl/BlockingQueueManager.java","L135","144","0","1034","753","125","8","7","1"
"L145","CallContext.java","hazelcast/src/main/java/com/hazelcast/impl/CallContext.java","L135","2","0","47","1118","12","0","3","0"
"L146","ClassLoaderAwareAsyncCall.java","hazelcast/src/main/java/com/hazelcast/impl/ClassLoaderAwareAsyncCall.java","L135","2","0","22","753","8","0","4","0"
"L147","ClientDistributedTask.java","hazelcast/src/main/java/com/hazelcast/impl/ClientDistributedTask.java","L135","1","0","43","1118","6","0","2","0"
"L148","ClientEndpoint.java","hazelcast/src/main/java/com/hazelcast/impl/ClientEndpoint.java","L135","48","0","326","831","63","7","7","0"
"L149","ClientHandlerService.java","hazelcast/src/main/java/com/hazelcast/impl/ClientHandlerService.java","L135","127","0","1490","831","69","5","7","2"
"L150","ClientRequestHandler.java","hazelcast/src/main/java/com/hazelcast/impl/ClientRequestHandler.java","L135","6","0","61","831","48","0","6","1"
"L151","ClientServiceException.java","hazelcast/src/main/java/com/hazelcast/impl/ClientServiceException.java","L135","4","0","42","1118","9","0","3","0"
"L152","ClientServiceImpl.java","hazelcast/src/main/java/com/hazelcast/impl/ClientServiceImpl.java","L135","4","0","48","1118","5","0","3","0"
"L153","ClusterOperation.java","hazelcast/src/main/java/com/hazelcast/impl/ClusterOperation.java","L135","1","0","147","831","79","1","4","0"
"L154","CMap.java","hazelcast/src/main/java/com/hazelcast/impl/CMap.java","L135","407","0","1737","2899","321","18","8","0"
"L155","ConcurrentMapManager.java","hazelcast/src/main/java/com/hazelcast/impl/ConcurrentMapManager.java","L135","639","0","3896","2899","484","27","10","3"
"L156","Constants.java","hazelcast/src/main/java/com/hazelcast/impl/Constants.java","L135","3","0","77","753","22","0","5","0"
"L157","CountDownLatchProxy.java","hazelcast/src/main/java/com/hazelcast/impl/CountDownLatchProxy.java","L135","1","0","17","1118","8","0","2","0"
"L158","CountDownLatchProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/CountDownLatchProxyImpl.java","L135","11","0","176","1118","8","0","2","0"
"L159","DataAwareEntryEvent.java","hazelcast/src/main/java/com/hazelcast/impl/DataAwareEntryEvent.java","L135","7","0","50","831","14","0","5","0"
"L160","DataAwareItemEvent.java","hazelcast/src/main/java/com/hazelcast/impl/DataAwareItemEvent.java","L135","1","0","20","831","12","0","4","0"
"L161","DataMessage.java","hazelcast/src/main/java/com/hazelcast/impl/DataMessage.java","L135","1","0","18","831","9","0","3","0"
"L162","DefaultNearCacheRecord.java","hazelcast/src/main/java/com/hazelcast/impl/DefaultNearCacheRecord.java","L135","3","0","39","2899","3","0","2","0"
"L163","DefaultProxyFactory.java","hazelcast/src/main/java/com/hazelcast/impl/DefaultProxyFactory.java","L135","1","0","62","1118","8","0","2","0"
"L164","DefaultRecord.java","hazelcast/src/main/java/com/hazelcast/impl/DefaultRecord.java","L135","15","0","96","1733","38","2","7","1"
"L165","DestroyEndpointThreadsCallable.java","hazelcast/src/main/java/com/hazelcast/impl/DestroyEndpointThreadsCallable.java","L135","3","0","58","2899","6","0","3","0"
"L166","DistributedRunnableAdapter.java","hazelcast/src/main/java/com/hazelcast/impl/DistributedRunnableAdapter.java","L135","1","0","6","575","7","0","4","0"
"L167","Entries.java","hazelcast/src/main/java/com/hazelcast/impl/Entries.java","L135","30","0","176","831","19","2","3","0"
"L168","EvictLocalMapEntriesCallable.java","hazelcast/src/main/java/com/hazelcast/impl/EvictLocalMapEntriesCallable.java","L135","1","0","46","2899","7","0","2","0"
"L169","ExecutionLoadBalancer.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutionLoadBalancer.java","L135","1","0","6","1118","4","0","2","0"
"L170","ExecutionManagerCallback.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutionManagerCallback.java","L135","1","0","8","1118","8","0","3","0"
"L171","ExecutorManager.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutorManager.java","L135","73","0","636","831","108","6","7","0"
"L172","ExecutorServiceProxy.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutorServiceProxy.java","L135","12","0","96","1118","25","0","3","0"
"L173","ExecutorThreadFactory.java","hazelcast/src/main/java/com/hazelcast/impl/ExecutorThreadFactory.java","L135","7","0","64","831","18","0","4","0"
"L174","FactoryImpl.java","hazelcast/src/main/java/com/hazelcast/impl/FactoryImpl.java","L135","115","0","815","831","267","3","8","2"
"L175","FallThroughRunnable.java","hazelcast/src/main/java/com/hazelcast/impl/FallThroughRunnable.java","L135","2","0","10","2899","11","0","4","0"
"L176","GroupProperties.java","hazelcast/src/main/java/com/hazelcast/impl/GroupProperties.java","L135","5","0","291","2899","114","3","6","0"
"L177","HazelcastInstanceAwareInstance.java","hazelcast/src/main/java/com/hazelcast/impl/HazelcastInstanceAwareInstance.java","L135","1","0","5","1118","3","0","1","0"
"L178","IdGeneratorProxy.java","hazelcast/src/main/java/com/hazelcast/impl/IdGeneratorProxy.java","L135","1","0","4","1118","5","0","2","0"
"L179","IdGeneratorProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/IdGeneratorProxyImpl.java","L135","9","0","103","1118","6","0","3","0"
"L180","IGetAwareProxy.java","hazelcast/src/main/java/com/hazelcast/impl/IGetAwareProxy.java","L135","1","0","4","1733","4","0","3","0"
"L181","InnerFutureTask.java","hazelcast/src/main/java/com/hazelcast/impl/InnerFutureTask.java","L135","1","0","20","2899","10","0","2","0"
"L182","IRemoveAwareProxy.java","hazelcast/src/main/java/com/hazelcast/impl/IRemoveAwareProxy.java","L135","1","0","4","2899","3","0","2","0"
"L183","Joiner.java","hazelcast/src/main/java/com/hazelcast/impl/Joiner.java","L135","1","0","10","2899","14","1","3","0"
"L184","Keys.java","hazelcast/src/main/java/com/hazelcast/impl/Keys.java","L135","6","0","52","831","15","0","5","0"
"L185","LifecycleServiceImpl.java","hazelcast/src/main/java/com/hazelcast/impl/LifecycleServiceImpl.java","L135","9","0","128","575","33","0","5","0"
"L186","ListenerManager.java","hazelcast/src/main/java/com/hazelcast/impl/ListenerManager.java","L135","86","0","416","831","96","0","6","0"
"L187","ListProxy.java","hazelcast/src/main/java/com/hazelcast/impl/ListProxy.java","L135","1","0","4","1118","4","0","2","0"
"L188","ListProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/ListProxyImpl.java","L135","4","0","121","1118","16","0","4","0"
"L189","LocalUpdateListener.java","hazelcast/src/main/java/com/hazelcast/impl/LocalUpdateListener.java","L135","1","0","4","753","2","0","2","0"
"L190","LockProxy.java","hazelcast/src/main/java/com/hazelcast/impl/LockProxy.java","L135","1","0","7","1118","5","0","2","0"
"L191","LockProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/LockProxyImpl.java","L135","10","0","181","575","18","0","5","1"
"L192","LogFormatter.java","hazelcast/src/main/java/com/hazelcast/impl/LogFormatter.java","L135","4","0","36","1118","6","0","1","0"
"L193","MapMaxSizePolicy.java","hazelcast/src/main/java/com/hazelcast/impl/MapMaxSizePolicy.java","L135","1","0","6","831","6","1","3","0"
"L194","MemberImpl.java","hazelcast/src/main/java/com/hazelcast/impl/MemberImpl.java","L135","16","0","167","1118","31","1","4","0"
"L195","MergeClusters.java","hazelcast/src/main/java/com/hazelcast/impl/MergeClusters.java","L135","4","0","46","1118","9","0","2","0"
"L196","MProxy.java","hazelcast/src/main/java/com/hazelcast/impl/MProxy.java","L135","1","0","19","2899","15","1","4","0"
"L197","MProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/MProxyImpl.java","L135","51","0","879","2899","76","5","7","0"
"L198","MulticastJoiner.java","hazelcast/src/main/java/com/hazelcast/impl/MulticastJoiner.java","L135","34","0","170","2899","41","4","5","0"
"L199","MulticastListener.java","hazelcast/src/main/java/com/hazelcast/impl/MulticastListener.java","L135","1","0","4","1118","1","0","1","0"
"L200","MulticastService.java","hazelcast/src/main/java/com/hazelcast/impl/MulticastService.java","L135","21","0","149","575","36","0","4","0"
"L201","MultiMapProxy.java","hazelcast/src/main/java/com/hazelcast/impl/MultiMapProxy.java","L135","1","0","6","1118","7","0","3","0"
"L202","MultiMapProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/MultiMapProxyImpl.java","L135","7","0","283","575","14","1","4","0"
"L203","NamedExecutorService.java","hazelcast/src/main/java/com/hazelcast/impl/NamedExecutorService.java","L135","1","0","27","1118","8","0","2","0"
"L204","NearCache.java","hazelcast/src/main/java/com/hazelcast/impl/NearCache.java","L135","42","0","236","753","21","1","5","0"
"L205","NearCacheRecord.java","hazelcast/src/main/java/com/hazelcast/impl/NearCacheRecord.java","L135","1","0","10","2899","3","0","2","0"
"L206","Node.java","hazelcast/src/main/java/com/hazelcast/impl/Node.java","L135","56","0","521","2899","241","3","7","0"
"L207","NodeBaseVariables.java","hazelcast/src/main/java/com/hazelcast/impl/NodeBaseVariables.java","L135","1","0","24","2899","27","0","4","0"
"L208","NodeMulticastListener.java","hazelcast/src/main/java/com/hazelcast/impl/NodeMulticastListener.java","L135","23","0","74","2899","16","1","5","0"
"L209","NodeType.java","hazelcast/src/main/java/com/hazelcast/impl/NodeType.java","L135","5","0","28","1118","3","0","1","0"
"L210","OutOfMemoryErrorDispatcher.java","hazelcast/src/main/java/com/hazelcast/impl/OutOfMemoryErrorDispatcher.java","L135","18","0","97","575","5","0","2","0"
"L211","PartitionManager.java","hazelcast/src/main/java/com/hazelcast/impl/PartitionManager.java","L135","197","0","964","2899","189","9","5","0"
"L212","PartitionServiceImpl.java","hazelcast/src/main/java/com/hazelcast/impl/PartitionServiceImpl.java","L135","27","0","174","575","42","0","4","0"
"L213","Processable.java","hazelcast/src/main/java/com/hazelcast/impl/Processable.java","L135","1","0","4","1118","5","0","2","0"
"L214","ProxyFactory.java","hazelcast/src/main/java/com/hazelcast/impl/ProxyFactory.java","L135","1","0","19","1118","7","0","2","0"
"L215","QProxy.java","hazelcast/src/main/java/com/hazelcast/impl/QProxy.java","L135","1","0","7","1118","10","0","3","0"
"L216","QProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/QProxyImpl.java","L135","25","0","306","1118","14","0","3","0"
"L217","Record.java","hazelcast/src/main/java/com/hazelcast/impl/Record.java","L135","1","0","100","1733","89","1","7","0"
"L218","Request.java","hazelcast/src/main/java/com/hazelcast/impl/Request.java","L135","7","0","249","2899","65","4","5","0"
"L219","RoundRobinLoadBalancer.java","hazelcast/src/main/java/com/hazelcast/impl/RoundRobinLoadBalancer.java","L135","1","0","11","1118","8","0","2","0"
"L220","SemaphoreProxy.java","hazelcast/src/main/java/com/hazelcast/impl/SemaphoreProxy.java","L135","1","0","14","1118","6","0","2","0"
"L221","SemaphoreProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/SemaphoreProxyImpl.java","L135","24","0","389","575","9","0","4","0"
"L222","SetProxy.java","hazelcast/src/main/java/com/hazelcast/impl/SetProxy.java","L135","1","0","5","1118","10","2","3","0"
"L223","SetProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/SetProxyImpl.java","L135","7","0","178","1118","12","2","4","0"
"L224","SimpleRecord.java","hazelcast/src/main/java/com/hazelcast/impl/SimpleRecord.java","L135","1","0","37","2899","12","0","3","0"
"L225","SplitBrainHandler.java","hazelcast/src/main/java/com/hazelcast/impl/SplitBrainHandler.java","L135","7","0","47","2899","29","1","5","0"
"L226","StreamResponseHandler.java","hazelcast/src/main/java/com/hazelcast/impl/StreamResponseHandler.java","L135","1","0","4","1118","3","0","1","0"
"L227","TcpIpJoiner.java","hazelcast/src/main/java/com/hazelcast/impl/TcpIpJoiner.java","L135","79","0","395","2899","68","5","5","0"
"L228","TestUtil.java","hazelcast/src/main/java/com/hazelcast/impl/TestUtil.java","L135","41","0","565","2899","31","2","3","0"
"L229","ThreadContext.java","hazelcast/src/main/java/com/hazelcast/impl/ThreadContext.java","L135","17","0","191","753","63","0","4","0"
"L230","TopicManager.java","hazelcast/src/main/java/com/hazelcast/impl/TopicManager.java","L135","11","0","119","2899","33","2","5","0"
"L231","TopicProxy.java","hazelcast/src/main/java/com/hazelcast/impl/TopicProxy.java","L135","1","0","8","1118","9","0","3","0"
"L232","TopicProxyImpl.java","hazelcast/src/main/java/com/hazelcast/impl/TopicProxyImpl.java","L135","7","0","128","1118","13","0","3","0"
"L233","TransactionImpl.java","hazelcast/src/main/java/com/hazelcast/impl/TransactionImpl.java","L135","84","0","405","575","78","9","4","1"
"L234","TransactionManager.java","hazelcast/src/main/java/com/hazelcast/impl/TransactionManager.java","L135","1","0","15","2899","8","0","2","0"
"L235","Util.java","hazelcast/src/main/java/com/hazelcast/impl/Util.java","L135","17","0","109","575","19","0","4","0"
"L236","VersionedBackupOp.java","hazelcast/src/main/java/com/hazelcast/impl/VersionedBackupOp.java","L135","6","0","32","2899","11","0","2","0"
"L30804","AtomicNumber.java","hazelcast/src/main/java/com/hazelcast/core/AtomicNumber.java","L30803","1","0","18","575","17","0","6","0"
"L30805","Client.java","hazelcast/src/main/java/com/hazelcast/core/Client.java","L30803","1","0","6","2899","2","0","2","0"
"L30806","ClientListener.java","hazelcast/src/main/java/com/hazelcast/core/ClientListener.java","L30803","1","0","6","1118","4","0","3","0"
"L30807","ClientService.java","hazelcast/src/main/java/com/hazelcast/core/ClientService.java","L30803","1","0","7","2899","2","0","2","0"
"L30808","ClientType.java","hazelcast/src/main/java/com/hazelcast/core/ClientType.java","L30803","1","0","5","575","1","0","1","0"
"L30809","Cluster.java","hazelcast/src/main/java/com/hazelcast/core/Cluster.java","L30803","1","0","9","1733","12","0","6","0"
"L30810","DistributedTask.java","hazelcast/src/main/java/com/hazelcast/core/DistributedTask.java","L30803","33","0","264","575","42","0","7","0"
"L30811","DuplicateInstanceNameException.java","hazelcast/src/main/java/com/hazelcast/core/DuplicateInstanceNameException.java","L30803","1","0","9","2899","5","0","2","0"
"L30812","EntryAdapter.java","hazelcast/src/main/java/com/hazelcast/core/EntryAdapter.java","L30803","1","0","11","1118","3","0","2","0"
"L30813","EntryEvent.java","hazelcast/src/main/java/com/hazelcast/core/EntryEvent.java","L30803","1","0","59","831","30","0","7","0"
"L30814","EntryEventType.java","hazelcast/src/main/java/com/hazelcast/core/EntryEventType.java","L30803","3","0","22","1118","5","0","1","0"
"L30815","EntryListener.java","hazelcast/src/main/java/com/hazelcast/core/EntryListener.java","L30803","1","0","8","1118","8","0","1","0"
"L30816","ExecutionCallback.java","hazelcast/src/main/java/com/hazelcast/core/ExecutionCallback.java","L30803","1","0","5","575","9","0","4","0"
"L30817","Hazelcast.java","hazelcast/src/main/java/com/hazelcast/core/Hazelcast.java","L30803","9","0","185","1733","74","1","7","0"
"L30818","HazelcastException.java","hazelcast/src/main/java/com/hazelcast/core/HazelcastException.java","L30803","1","0","15","2899","2","0","1","0"
"L30819","HazelcastInstance.java","hazelcast/src/main/java/com/hazelcast/core/HazelcastInstance.java","L30803","1","0","34","1733","77","0","7","0"
"L30820","HazelcastInstanceAware.java","hazelcast/src/main/java/com/hazelcast/core/HazelcastInstanceAware.java","L30803","1","0","4","1118","4","0","1","0"
"L30821","HazelcastInstanceAwareObject.java","hazelcast/src/main/java/com/hazelcast/core/HazelcastInstanceAwareObject.java","L30803","1","0","23","1118","20","0","5","0"
"L30822","ICollection.java","hazelcast/src/main/java/com/hazelcast/core/ICollection.java","L30803","1","0","7","831","15","0","5","0"
"L30823","ICountDownLatch.java","hazelcast/src/main/java/com/hazelcast/core/ICountDownLatch.java","L30803","1","0","12","575","17","0","5","0"
"L30824","IdGenerator.java","hazelcast/src/main/java/com/hazelcast/core/IdGenerator.java","L30803","1","0","5","1733","14","0","5","0"
"L30825","IList.java","hazelcast/src/main/java/com/hazelcast/core/IList.java","L30803","1","0","4","831","8","0","4","0"
"L30826","ILock.java","hazelcast/src/main/java/com/hazelcast/core/ILock.java","L30803","1","0","9","575","30","0","6","0"
"L30827","IMap.java","hazelcast/src/main/java/com/hazelcast/core/IMap.java","L30803","1","0","62","575","113","0","6","0"
"L30828","Instance.java","hazelcast/src/main/java/com/hazelcast/core/Instance.java","L30803","12","0","78","831","23","0","6","0"
"L30829","InstanceDestroyedException.java","hazelcast/src/main/java/com/hazelcast/core/InstanceDestroyedException.java","L30803","1","0","30","831","8","0","5","0"
"L30830","InstanceEvent.java","hazelcast/src/main/java/com/hazelcast/core/InstanceEvent.java","L30803","1","0","30","831","7","0","3","0"
"L30831","InstanceListener.java","hazelcast/src/main/java/com/hazelcast/core/InstanceListener.java","L30803","1","0","6","1118","5","0","1","0"
"L30832","IQueue.java","hazelcast/src/main/java/com/hazelcast/core/IQueue.java","L30803","1","0","6","2899","20","1","5","0"
"L30833","ISemaphore.java","hazelcast/src/main/java/com/hazelcast/core/ISemaphore.java","L30803","1","0","36","831","17","0","6","0"
"L30834","ISet.java","hazelcast/src/main/java/com/hazelcast/core/ISet.java","L30803","1","0","4","831","10","0","5","0"
"L30835","ItemEvent.java","hazelcast/src/main/java/com/hazelcast/core/ItemEvent.java","L30803","1","0","33","2899","9","0","5","0"
"L30836","ItemEventType.java","hazelcast/src/main/java/com/hazelcast/core/ItemEventType.java","L30803","3","0","20","1118","2","0","1","0"
"L30837","ItemListener.java","hazelcast/src/main/java/com/hazelcast/core/ItemListener.java","L30803","1","0","6","1118","6","0","1","0"
"L30838","ITopic.java","hazelcast/src/main/java/com/hazelcast/core/ITopic.java","L30803","1","0","9","831","14","0","6","0"
"L30839","LifecycleEvent.java","hazelcast/src/main/java/com/hazelcast/core/LifecycleEvent.java","L30803","5","0","43","831","13","0","5","0"
"L30840","LifecycleListener.java","hazelcast/src/main/java/com/hazelcast/core/LifecycleListener.java","L30803","1","0","5","1118","4","0","2","0"
"L30841","LifecycleService.java","hazelcast/src/main/java/com/hazelcast/core/LifecycleService.java","L30803","1","0","11","831","6","0","3","0"
"L30842","ManagedContext.java","hazelcast/src/main/java/com/hazelcast/core/ManagedContext.java","L30803","1","0","4","575","9","0","4","0"
"L30843","MapEntry.java","hazelcast/src/main/java/com/hazelcast/core/MapEntry.java","L30803","1","0","13","753","10","0","5","0"
"L30844","MapLoader.java","hazelcast/src/main/java/com/hazelcast/core/MapLoader.java","L30803","1","0","9","1118","9","0","1","0"
"L30845","MapLoaderLifecycleSupport.java","hazelcast/src/main/java/com/hazelcast/core/MapLoaderLifecycleSupport.java","L30803","1","0","6","1118","3","0","1","0"
"L30846","MapStore.java","hazelcast/src/main/java/com/hazelcast/core/MapStore.java","L30803","1","0","9","1118","8","0","1","0"
"L30847","MapStoreFactory.java","hazelcast/src/main/java/com/hazelcast/core/MapStoreFactory.java","L30803","1","0","5","1118","2","0","2","0"
"L30848","Member.java","hazelcast/src/main/java/com/hazelcast/core/Member.java","L30803","1","0","16","1733","23","0","5","0"
"L30849","MemberLeftException.java","hazelcast/src/main/java/com/hazelcast/core/MemberLeftException.java","L30803","1","0","28","575","21","0","5","0"
"L30850","MembershipEvent.java","hazelcast/src/main/java/com/hazelcast/core/MembershipEvent.java","L30803","2","0","28","831","12","0","4","0"
"L30851","MembershipListener.java","hazelcast/src/main/java/com/hazelcast/core/MembershipListener.java","L30803","1","0","6","1118","7","0","1","0"
"L30852","Message.java","hazelcast/src/main/java/com/hazelcast/core/Message.java","L30803","1","0","12","831","6","0","5","0"
"L30853","MessageListener.java","hazelcast/src/main/java/com/hazelcast/core/MessageListener.java","L30803","1","0","5","1118","8","0","2","0"
"L30854","MultiMap.java","hazelcast/src/main/java/com/hazelcast/core/MultiMap.java","L30803","1","0","35","575","35","0","6","0"
"L30855","MultiTask.java","hazelcast/src/main/java/com/hazelcast/core/MultiTask.java","L30803","1","0","25","575","10","0","4","0"
"L30856","OperationRejectedException.java","hazelcast/src/main/java/com/hazelcast/core/OperationRejectedException.java","L30803","1","0","8","2899","3","0","1","0"
"L30857","OperationTimeoutException.java","hazelcast/src/main/java/com/hazelcast/core/OperationTimeoutException.java","L30803","1","0","14","575","8","0","3","0"
"L30858","OutOfMemoryHandler.java","hazelcast/src/main/java/com/hazelcast/core/OutOfMemoryHandler.java","L30803","1","0","17","575","6","0","2","0"
"L30859","PartitionAware.java","hazelcast/src/main/java/com/hazelcast/core/PartitionAware.java","L30803","1","0","4","1118","3","0","1","0"
"L30860","Prefix.java","hazelcast/src/main/java/com/hazelcast/core/Prefix.java","L30803","1","0","28","831","26","2","6","1"
"L30861","RuntimeInterruptedException.java","hazelcast/src/main/java/com/hazelcast/core/RuntimeInterruptedException.java","L30803","1","0","8","2899","8","0","3","0"
"L30862","SemaphoreFactory.java","hazelcast/src/main/java/com/hazelcast/core/SemaphoreFactory.java","L30803","1","0","4","575","8","0","4","0"
"L30863","Transaction.java","hazelcast/src/main/java/com/hazelcast/core/Transaction.java","L30803","1","0","16","575","18","0","5","0"
"L36893","AbstractNodeAware.java","hazelcast/src/main/java/com/hazelcast/cluster/AbstractNodeAware.java","L36892","1","0","12","2899","14","0","2","0"
"L36894","AbstractRemotelyCallable.java","hazelcast/src/main/java/com/hazelcast/cluster/AbstractRemotelyCallable.java","L36892","1","0","21","1118","8","0","2","0"
"L36895","AbstractRemotelyProcessable.java","hazelcast/src/main/java/com/hazelcast/cluster/AbstractRemotelyProcessable.java","L36892","1","0","18","1118","10","0","2","0"
"L36896","AddOrRemoveConnection.java","hazelcast/src/main/java/com/hazelcast/cluster/AddOrRemoveConnection.java","L36892","1","0","34","1118","16","0","2","0"
"L36897","AuthorizationCall.java","hazelcast/src/main/java/com/hazelcast/cluster/AuthorizationCall.java","L36892","3","0","33","2899","8","0","2","0"
"L36898","Bind.java","hazelcast/src/main/java/com/hazelcast/cluster/Bind.java","L36892","3","0","47","2899","18","1","2","0"
"L36899","ClusterImpl.java","hazelcast/src/main/java/com/hazelcast/cluster/ClusterImpl.java","L36892","18","0","129","2899","52","1","4","0"
"L36900","ClusterManager.java","hazelcast/src/main/java/com/hazelcast/cluster/ClusterManager.java","L36892","174","0","949","2899","161","8","6","0"
"L36901","ClusterService.java","hazelcast/src/main/java/com/hazelcast/cluster/ClusterService.java","L36892","35","0","270","831","154","2","8","0"
"L36902","ConnectionCheckCall.java","hazelcast/src/main/java/com/hazelcast/cluster/ConnectionCheckCall.java","L36892","4","0","14","2899","15","0","2","0"
"L36903","FinalizeJoin.java","hazelcast/src/main/java/com/hazelcast/cluster/FinalizeJoin.java","L36892","1","0","7","2899","15","0","2","0"
"L36904","JoinInfo.java","hazelcast/src/main/java/com/hazelcast/cluster/JoinInfo.java","L36892","2","0","73","1733","25","0","6","0"
"L36905","JoinRequest.java","hazelcast/src/main/java/com/hazelcast/cluster/JoinRequest.java","L36892","6","0","98","575","49","0","7","0"
"L36906","Master.java","hazelcast/src/main/java/com/hazelcast/cluster/Master.java","L36892","1","0","36","2899","17","0","2","0"
"L36907","MemberInfo.java","hazelcast/src/main/java/com/hazelcast/cluster/MemberInfo.java","L36892","10","0","74","1733","17","0","5","0"
"L36908","MemberRemover.java","hazelcast/src/main/java/com/hazelcast/cluster/MemberRemover.java","L36892","4","0","31","831","18","0","3","0"
"L36909","MembersUpdateCall.java","hazelcast/src/main/java/com/hazelcast/cluster/MembersUpdateCall.java","L36892","10","0","80","575","26","2","4","0"
"L36910","NodeAware.java","hazelcast/src/main/java/com/hazelcast/cluster/NodeAware.java","L36892","1","0","6","1118","10","0","4","0"
"L36911","RemotelyProcessable.java","hazelcast/src/main/java/com/hazelcast/cluster/RemotelyProcessable.java","L36892","1","0","7","1118","8","0","2","0"
"L36912","SyncProcess.java","hazelcast/src/main/java/com/hazelcast/cluster/SyncProcess.java","L36892","1","0","30","575","20","0","3","0"
"L37759","AbstractXmlConfigHelper.java","hazelcast/src/main/java/com/hazelcast/config/AbstractXmlConfigHelper.java","L37758","19","0","130","1118","8","0","4","1"
"L37760","AsymmetricEncryptionConfig.java","hazelcast/src/main/java/com/hazelcast/config/AsymmetricEncryptionConfig.java","L37758","3","0","99","831","10","0","4","0"
"L37761","AwsConfig.java","hazelcast/src/main/java/com/hazelcast/config/AwsConfig.java","L37758","1","0","72","1118","11","0","3","0"
"L37762","ClasspathXmlConfig.java","hazelcast/src/main/java/com/hazelcast/config/ClasspathXmlConfig.java","L37758","2","0","22","575","8","0","4","0"
"L37763","Config.java","hazelcast/src/main/java/com/hazelcast/config/Config.java","L37758","83","0","709","575","110","0","8","1"
"L37764","ConfigBuilder.java","hazelcast/src/main/java/com/hazelcast/config/ConfigBuilder.java","L37758","1","0","4","1733","9","0","4","0"
"L37765","ConfigLoader.java","hazelcast/src/main/java/com/hazelcast/config/ConfigLoader.java","L37758","10","0","55","1733","5","0","4","0"
