AD,Android Rules,Basic Rules,Brace Rules,CBO,CBOI,CC,CCL,CCO,CD,CI,CLC,CLLC,CLOC,Clone Implementation Rules,Clone Metric Rules,Code Size Rules,Cohesion Metric Rules,Column,Comment Rules,Complexity Metric Rules,Controversial Rules,Coupling Metric Rules,Coupling Rules,DIT,DLOC,Design Rules,Documentation Metric Rules,Empty Code Rules,EndColumn,EndLine,Finalizer Rules,Import Statement Rules,Inheritance Metric Rules,J2EE Rules,JUnit Rules,Jakarta Commons Logging Rules,Java Logging Rules,JavaBean Rules,LCOM5,LDC,LLDC,LLOC,LOC,Line,MigratingToJUnit4 Rules,Migration Rules,Migration13 Rules,Migration14 Rules,Migration15 Rules,NA,NG,NII,NL,NLA,NLE,NLG,NLM,NLPA,NLPM,NLS,NM,NOA,NOC,NOD,NOI,NOP,NOS,NPA,NPM,NS,Naming Rules,Number of bugs,Optimization Rules,PDA,PUA,RFC,Security Code Guideline Rules,Size Metric Rules,Strict Exception Rules,String and StringBuffer Rules,TCD,TCLOC,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,Type Resolution Rules,Unnecessary and Unused Code Rules,Vulnerability Rules,WMC,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor
1.0,0,0,0,0,2,0.0,0,0,0.14893599999999999,0,0.0,0.0,14,0,0,0,0,1,0,0,0,0,0,0,3,0,7,0,2,95,0,0,0,0,0,0,0,0,0,0,0,80,86,6,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,8,0,0,0.14285699999999998,14,84,90,3,0,3,0,1,3,0,0,1,0,3,0,0,0,0,0,1,0,0,15,0,0
0.166667,0,0,0,7,0,0.0,0,0,0.1,0,0.0,0.0,3,0,0,0,1,1,0,0,0,0,0,1,3,0,13,0,2,43,0,0,0,0,0,0,0,0,5,0,0,27,31,13,0,0,0,0,0,2,0,0,0,0,0,0,5,0,5,0,9,1,0,0,0,1,14,0,8,0,0,0,0,1,5,5,0,0,0,0,0.1,3,27,31,2,0,0,0,5,0,5,0,9,14,0,8,0,0,0,0,5,0,0,14,0,0
0.5,0,0,0,5,2,0.0,0,0,0.130435,0,0.0,0.0,3,0,0,0,0,1,0,0,1,0,0,1,3,3,18,0,2,78,0,0,0,0,0,0,0,0,1,0,0,20,26,18,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,5,1,0,0,2,1,9,0,4,0,0,0,0,1,1,3,1,0,0,0,0.0576923,3,49,61,5,4,3,4,6,0,5,0,10,19,0,8,0,0,0,0,1,0,0,18,1,4
0.5,0,0,0,7,3,0.0,0,0,0.09375,0,0.0,0.0,3,0,0,0,0,1,0,0,2,0,0,1,3,0,23,0,2,91,0,0,0,0,0,0,0,0,1,0,0,29,37,21,0,0,0,0,0,4,0,1,0,2,0,0,2,0,1,0,6,1,0,0,2,1,13,0,4,0,0,1,0,1,1,4,0,0,0,0,0.0491803,3,58,71,4,4,2,4,7,0,6,0,11,23,0,9,0,0,0,0,2,0,0,23,0,2
0.5,0,0,1,8,3,0.0,0,0,0.09375,0,0.0,0.0,3,0,0,0,0,1,0,0,2,0,0,1,3,4,26,0,2,104,0,0,0,0,0,0,0,0,1,0,0,29,38,21,0,0,0,0,0,4,0,1,0,2,0,0,2,0,1,0,6,1,0,0,3,1,13,0,4,0,0,1,0,1,1,5,0,8,0,0,0.042857099999999995,3,67,84,6,4,4,4,7,2,6,0,11,29,2,9,0,0,0,0,2,0,0,34,0,7
0.5,0,0,0,7,4,0.0,0,0,0.125,0,0.0,0.0,3,0,0,0,2,1,0,0,1,0,0,1,3,7,35,0,2,144,0,0,0,0,0,0,0,0,1,0,0,21,27,24,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,5,1,0,0,3,1,9,0,4,0,0,0,0,1,1,4,1,0,0,0,0.0294118,3,99,121,5,1,3,1,13,0,12,0,21,41,0,19,0,0,0,0,1,0,0,37,2,7
0.5,0,0,0,6,0,0.0,0,0,0.384615,0,0.0,0.0,10,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,2,35,0,0,0,0,0,0,0,0,1,0,0,16,22,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,12,0,3,0,1,0,0,0,0,1,1,13,0,0,0,0,0.384615,10,16,22,0,0,0,0,1,0,1,0,1,3,0,1,0,0,0,0,1,0,0,2,0,0
0.2,0,0,0,3,3,0.0,0,0,0.2,0,0.0,0.0,7,0,0,0,0,1,0,0,0,0,0,1,7,0,13,0,2,49,0,0,0,0,0,0,0,0,1,0,0,28,35,15,0,0,0,0,0,2,1,8,2,2,2,1,5,0,4,0,6,1,3,5,2,1,10,0,5,0,0,0,0,1,4,7,0,0,0,0,0.2,7,28,35,2,1,2,1,5,0,4,0,6,10,0,5,0,0,0,0,7,0,0,13,0,0
0.5,0,0,2,3,2,0.242525,1,4,0.266667,1,0.15178599999999998,0.220779,28,0,12,0,0,1,0,0,0,0,0,2,27,1,13,0,2,132,0,0,0,0,0,0,0,0,1,17,17,77,112,21,0,0,0,0,0,5,2,2,3,3,3,1,8,0,5,0,13,2,2,2,5,1,46,0,9,0,0,2,1,3,3,13,0,0,0,0,0.266667,28,77,112,5,2,3,1,8,0,5,0,13,46,0,9,0,0,0,0,16,0,0,25,0,4
0.166667,0,0,0,1,6,0.0,0,0,0.21052600000000002,0,0.0,0.0,8,0,0,0,0,1,0,0,0,0,0,1,8,0,13,0,2,53,0,0,0,0,0,0,0,0,1,0,0,30,39,15,0,0,0,0,0,1,0,8,1,1,1,0,6,0,5,0,6,1,2,6,0,1,10,0,5,0,0,2,0,1,5,6,0,0,0,0,0.21052600000000002,8,30,39,1,0,1,0,6,0,5,0,6,10,0,5,0,0,0,0,7,0,0,13,0,0
0.4,0,1,0,2,4,0.0,0,0,0.253521,0,0.0,0.0,18,0,0,0,0,1,0,0,0,0,0,2,16,0,13,0,2,91,0,0,0,0,0,0,0,0,1,0,0,53,76,16,0,0,0,0,0,6,2,16,3,5,3,2,7,0,4,0,13,2,4,4,5,1,25,0,9,0,0,1,1,2,3,12,0,0,0,0,0.253521,18,53,76,6,2,5,2,7,0,4,0,13,25,0,9,0,0,0,0,13,0,0,13,0,2
0.333333,0,0,0,0,1,0.0,0,0,0.214286,0,0.0,0.0,6,0,0,0,0,1,0,0,0,0,0,0,4,0,7,0,2,34,0,0,0,0,0,0,0,0,1,0,0,22,24,11,0,0,0,0,0,0,0,1,3,0,3,0,2,0,2,0,2,0,0,0,0,0,11,0,2,0,1,0,0,1,2,2,0,0,0,0,0.214286,6,22,24,0,0,0,0,2,0,2,0,2,11,0,2,0,0,0,0,5,0,0,7,0,1
0.2,0,0,0,0,6,0.0,0,0,0.208333,0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,0,5,0,11,0,2,32,0,0,0,0,0,0,0,0,1,0,0,19,25,8,0,0,0,0,0,3,2,7,0,3,0,2,4,0,4,0,4,0,0,0,0,0,5,0,4,0,0,0,0,1,4,4,0,0,0,0,0.208333,5,19,25,3,2,3,2,4,0,4,0,4,5,0,4,0,0,0,0,4,0,0,11,0,0
0.833333,0,0,0,2,4,0.0,0,0,0.4,0,0.0,0.0,28,0,0,0,1,1,0,0,0,0,0,0,28,1,10,0,2,94,0,0,0,0,0,0,0,0,5,0,0,42,72,17,0,0,0,0,0,2,0,3,2,2,2,0,6,0,5,0,6,0,0,0,5,0,18,0,5,0,0,0,0,5,1,11,0,0,0,0,0.368421,28,48,78,2,0,2,0,7,0,6,0,7,21,0,6,0,0,0,0,13,0,0,11,0,1
0.6,0,0,0,1,2,0.0,0,0,0.365079,0,0.0,0.0,23,0,0,0,0,1,0,0,0,0,0,0,23,1,5,0,2,77,0,0,0,0,0,0,0,0,1,0,0,40,59,19,0,0,0,0,0,3,0,2,2,3,2,0,4,0,4,0,4,0,0,0,3,0,17,0,4,0,0,1,0,3,2,7,0,0,0,0,0.365079,23,40,59,3,0,3,0,4,0,4,0,4,17,0,4,0,0,0,0,11,0,0,5,1,0
0.2,0,0,0,2,5,0.0,0,0,0.416667,0,0.0,0.0,10,0,0,0,1,1,0,0,0,0,0,1,6,0,1,0,2,31,0,0,0,0,0,0,0,0,4,0,0,14,21,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,1,3,3,0,1,0,0,4,0,0,0,0,1,4,4,0,0,0,0,0.416667,10,14,21,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,0,4,0,0,2,0,0
0.333333,0,0,0,1,1,0.0,0,0,0.25,0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,1,5,1,5,0,2,32,0,0,0,0,0,0,0,0,1,0,0,15,20,13,0,0,0,0,0,1,0,1,0,1,0,0,2,0,2,0,2,1,0,0,0,1,7,0,2,0,0,0,0,1,2,2,0,0,0,0,0.25,5,15,20,1,0,1,0,2,0,2,0,2,7,0,2,0,0,0,0,2,0,0,5,0,1
0.5,0,0,0,1,1,0.0,0,0,0.6,0,0.0,0.0,9,0,0,0,0,1,0,0,0,0,0,1,8,0,3,0,2,23,0,0,0,0,0,0,0,0,1,0,0,6,7,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0.6,9,6,7,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,3,0,0
0.333333,0,0,0,2,1,0.0,0,0,0.17948699999999998,0,0.0,0.0,7,0,0,0,0,1,0,0,0,0,0,1,7,1,9,0,2,61,0,0,0,0,0,0,0,0,1,0,0,32,40,22,0,0,0,0,0,1,1,1,1,1,1,1,3,0,2,0,3,1,0,0,1,1,20,0,2,0,0,2,0,1,2,4,0,0,0,0,0.17948699999999998,7,32,40,1,1,1,1,3,0,2,0,3,20,0,2,0,0,0,0,4,0,0,9,0,1
0.5,0,0,0,1,1,0.0,0,0,0.416667,0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,1,5,0,3,0,2,17,0,0,0,0,0,0,0,0,1,0,0,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0.416667,5,7,7,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,0,1,0,0,3,0,0
1.0,0,0,0,4,6,0.0,0,0,0.347368,0,0.0,0.0,33,0,0,0,1,2,0,0,0,0,0,0,33,0,12,0,3,211,0,0,0,0,0,0,0,0,2,0,0,62,101,111,0,0,0,0,0,9,0,6,0,9,0,0,11,0,11,0,11,0,0,0,2,0,29,0,11,0,7,1,6,12,0,13,0,2,0,0,0.347368,33,62,101,9,0,9,0,11,0,11,0,11,29,0,11,0,0,0,0,11,0,0,15,0,13
0.0,0,0,0,1,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7,0,2,29,0,0,0,0,0,0,0,0,0,0,0,14,17,13,0,0,0,0,0,6,4,0,0,1,0,1,2,0,1,0,5,1,0,0,0,1,6,0,2,0,0,1,0,0,2,2,0,0,0,0,0.0,0,14,17,6,4,1,1,2,0,1,0,5,6,0,2,0,0,0,0,2,0,0,7,0,1
1.0,0,0,0,0,8,0.0,0,0,0.351351,0,0.0,0.0,13,0,0,0,0,1,0,0,0,0,0,0,12,2,2,0,2,50,0,0,0,0,0,0,0,0,0,0,0,24,38,13,0,0,0,0,0,5,4,4,2,5,1,4,4,0,1,0,4,0,2,3,0,0,8,0,1,0,0,0,0,2,0,4,0,0,0,0,0.351351,13,24,38,5,4,5,4,4,0,1,0,4,8,0,1,0,0,0,0,8,0,0,2,1,1
0.25,0,0,0,2,2,0.0,0,0,0.310345,0,0.0,0.0,9,0,0,0,0,1,0,0,0,0,0,1,7,0,7,0,2,42,0,0,0,0,0,0,0,0,0,0,0,20,27,16,0,0,0,0,0,9,4,2,0,4,0,1,3,2,3,0,6,1,1,1,1,1,7,2,3,0,0,0,0,1,3,4,0,4,0,0,0.310345,9,20,27,9,4,4,1,3,2,3,0,6,7,2,3,0,0,0,0,3,0,0,11,0,0
0.947368,0,0,26,9,4,0.0,0,0,0.449057,0,0.0,0.0,119,0,0,0,1,2,0,0,0,0,0,0,118,2,9,0,3,396,0,0,0,0,0,0,0,0,8,0,0,146,292,105,0,0,0,0,0,30,0,3,2,30,2,0,19,3,18,0,19,0,0,0,7,0,80,3,18,0,10,0,15,18,1,26,0,9,0,0,0.449057,119,146,292,30,0,30,0,19,3,18,0,19,80,3,18,0,0,0,0,39,0,0,19,0,53
0.0,0,0,0,0,5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,3,94,0,0,0,0,0,0,0,0,0,0,0,4,4,91,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0.0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0
0.5,0,0,0,2,1,0.0,0,0,0.12820499999999999,0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,2,3,2,11,0,2,60,0,0,0,0,0,0,0,0,0,0,0,34,42,19,0,0,0,0,0,14,7,1,2,5,1,3,4,2,1,0,10,2,0,0,2,1,16,4,4,0,0,0,0,1,1,6,0,4,0,0,0.12820499999999999,5,34,42,14,7,5,3,4,2,1,0,10,16,4,4,0,0,0,0,6,0,0,15,0,2
0.0,0,0,0,3,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,13,0,3,77,0,0,0,0,0,0,0,0,0,0,0,29,35,43,0,0,0,0,0,2,4,1,1,2,1,4,5,0,4,0,5,0,0,0,1,0,10,0,4,0,0,0,0,0,5,6,1,0,0,0,0.0,0,29,35,2,4,2,4,5,0,4,0,5,10,0,4,0,0,0,0,6,0,0,13,1,3
0.0,0,0,0,3,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,3,90,0,0,0,0,0,0,0,0,0,0,0,25,30,61,0,0,0,0,0,0,4,0,1,0,1,4,4,0,4,0,4,0,0,0,1,0,9,0,4,0,0,0,0,0,5,5,0,0,0,0,0.0,0,25,30,0,4,0,4,4,0,4,0,4,9,0,4,0,0,0,0,5,0,0,11,0,0
0.0,0,0,1,4,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,14,0,3,103,0,0,0,0,0,0,0,0,0,0,0,30,38,62,0,0,0,0,0,0,4,0,1,0,1,4,4,0,4,0,4,0,0,0,1,0,15,0,4,0,0,0,0,0,5,5,0,6,0,0,0.0,0,34,42,2,4,2,4,4,2,4,0,4,15,2,4,0,0,0,0,5,0,0,20,0,5
0.0,0,0,0,4,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,30,0,3,143,0,0,0,0,0,0,0,0,7,0,0,52,65,50,0,0,0,0,0,2,1,1,2,2,2,1,9,0,8,0,9,0,0,0,1,0,19,0,8,0,0,0,0,0,9,10,1,0,0,0,0.0,0,78,94,2,1,2,1,12,0,11,0,16,32,0,15,0,0,0,0,11,0,0,32,2,6
0.5,0,0,0,8,0,0.0,0,0,0.25,0,0.0,0.0,9,0,0,0,0,1,0,0,1,1,0,0,5,3,16,0,2,67,0,0,0,0,0,0,0,0,1,0,0,27,34,24,0,0,0,0,0,1,0,0,1,1,1,0,2,0,1,0,2,0,0,0,12,0,12,0,1,0,0,0,0,1,1,14,0,0,0,0,0.195652,9,37,44,1,0,1,0,4,0,3,0,12,16,0,11,0,0,0,0,3,0,0,17,0,4
1.0,0,0,0,3,1,0.0,0,0,0.675676,0,0.0,0.0,25,0,0,0,0,1,0,0,0,0,0,3,25,0,2,0,2,48,0,0,0,0,0,0,0,0,0,0,0,12,33,16,0,0,0,0,0,5,2,1,0,0,0,1,3,0,2,0,15,3,0,0,2,1,3,0,11,0,0,0,0,3,0,5,0,0,0,0,0.675676,25,12,33,5,2,0,1,3,0,2,0,15,3,0,11,0,0,0,0,3,0,0,2,0,0
0.6,0,0,0,3,0,0.0,0,0,0.37096799999999996,0,0.0,0.0,23,0,0,0,0,1,0,0,0,0,0,2,22,0,7,0,2,79,0,0,0,0,0,0,0,0,1,0,0,39,62,18,0,0,0,0,0,4,1,0,2,2,2,0,5,0,4,0,10,2,0,0,4,1,19,0,8,0,0,1,0,3,2,9,0,0,0,0,0.37096799999999996,23,39,62,4,1,2,0,5,0,4,0,10,19,0,8,0,0,0,0,9,0,0,7,0,0
1.0,0,0,0,4,1,0.0,0,0,0.595238,0,0.0,0.0,25,0,0,0,0,1,0,0,0,0,0,3,25,0,2,0,2,55,0,0,0,0,0,0,0,0,0,0,0,17,39,17,0,0,0,0,0,7,2,1,1,2,1,1,3,0,2,0,15,3,0,0,3,1,5,0,11,0,0,0,0,3,0,6,0,0,0,0,0.595238,25,17,39,7,2,2,1,3,0,2,0,15,5,0,11,0,0,0,0,4,0,0,2,0,0
0.75,0,0,0,3,1,0.0,0,0,0.607143,0,0.0,0.0,17,0,0,0,0,1,0,0,0,0,0,2,16,0,1,0,2,39,0,0,0,0,0,0,0,0,1,0,0,11,24,16,0,0,0,0,0,2,1,1,0,0,0,0,3,0,3,0,8,2,0,0,2,1,2,0,7,0,0,0,0,3,1,5,0,0,0,0,0.607143,17,11,24,2,1,0,0,3,0,3,0,8,2,0,7,0,0,0,0,3,0,0,1,0,0
0.5,0,0,0,1,1,0.0,0,0,0.454545,0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,1,5,0,3,0,2,13,0,0,0,0,0,0,0,0,1,0,0,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0.454545,5,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,3,0,0
0.5,0,0,0,2,2,0.0,0,0,0.22222199999999998,0,0.0,0.0,6,0,0,0,0,1,0,0,0,0,0,1,5,0,7,0,2,37,0,0,0,0,0,0,0,0,1,0,0,21,24,14,0,0,0,0,0,2,1,0,1,2,1,1,2,0,1,0,2,1,0,0,1,1,10,0,1,0,0,0,0,1,1,3,0,0,0,0,0.22222199999999998,6,21,24,2,1,2,1,2,0,1,0,2,10,0,1,0,0,0,0,3,0,0,7,0,0
0.2,0,0,0,2,0,0.0,0,0,0.130435,0,0.0,0.0,6,0,0,0,1,1,0,0,0,0,0,3,6,1,17,0,2,66,0,0,0,0,0,0,0,0,2,0,0,40,48,19,0,0,0,0,0,7,2,0,1,1,1,1,7,0,4,0,17,3,0,0,5,1,14,0,13,0,0,0,0,1,4,12,0,0,0,0,0.130435,6,40,48,7,2,1,1,7,0,4,0,17,14,0,13,0,0,0,0,9,0,0,18,0,1
0.14285699999999998,0,0,0,1,1,0.0,0,0,0.2,0,0.0,0.0,9,0,0,0,0,1,0,0,0,0,0,1,8,0,15,0,2,61,0,0,0,0,0,0,0,0,1,0,0,36,45,17,0,0,0,0,0,2,0,1,2,2,2,0,6,0,6,0,6,1,0,0,5,1,14,0,6,0,0,0,0,1,6,11,0,0,0,0,0.2,9,36,45,2,0,2,0,6,0,6,0,6,14,0,6,0,0,0,0,8,0,0,15,0,0
0.2,0,0,0,2,0,0.40565999999999997,2,8,0.171429,2,0.309859,0.37931,12,0,12,0,1,1,0,0,0,0,0,3,12,1,17,0,2,92,0,0,0,0,0,0,0,0,2,22,22,58,71,22,0,0,0,0,0,7,2,0,3,1,3,1,7,0,4,0,17,3,0,0,5,1,27,0,13,0,0,0,0,1,4,12,0,0,0,0,0.171429,12,58,71,7,2,1,1,7,0,4,0,17,27,0,13,0,0,0,0,12,0,0,30,0,1
0.28571399999999997,0,0,0,1,0,0.0,0,0,0.272727,0,0.0,0.0,15,0,0,0,0,1,0,0,0,0,0,1,14,0,11,0,2,72,0,0,0,0,0,0,0,0,1,0,0,40,56,17,0,0,0,0,0,3,0,0,1,3,1,0,6,0,6,0,6,1,0,0,5,1,16,0,6,0,0,0,0,2,5,11,0,0,0,0,0.272727,15,40,56,3,0,3,0,6,0,6,0,6,16,0,6,0,0,0,0,9,0,0,11,0,0
0.166667,0,0,0,2,0,0.0,0,0,0.13114800000000001,0,0.0,0.0,8,0,0,0,1,1,0,0,0,0,0,3,7,1,19,0,2,84,0,0,0,0,0,0,0,0,2,0,0,53,64,21,0,0,0,0,0,9,2,0,1,3,1,1,8,0,5,0,18,3,0,0,5,1,21,0,14,0,0,0,0,1,5,13,0,0,0,0,0.13114800000000001,8,53,64,9,2,3,1,8,0,5,0,18,21,0,14,0,0,0,0,10,0,0,20,0,1
