@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L209","1","0","15","1","1","1302","1","false"
"L210","4","0","78","2","1","1302","1","false"
"L211","6","0","74","2","1","1302","1","false"
"L212","6","0","43","11","1","1302","0","false"
"L213","3","0","26","1","1","1302","1","false"
"L214","6","0","60","1","1","1302","1","false"
"L215","7","0","41","1","1","1302","1","false"
"L216","5","0","48","2","1","1302","2","false"
"L217","23","0","210","11","1","1302","0","false"
"L218","1","0","23","1","1","1302","0","false"
"L219","6","0","50","9","1","1302","0","false"
"L220","4","0","52","3","1","1302","0","false"
"L221","1","0","22","4","2","1302","0","false"
"L222","5","0","51","3","1","1302","0","false"
"L223","2","0","53","3","1","1302","1","false"
"L224","2","0","20","6","1","1302","2","false"
"L225","1","0","11","2","1","1302","0","false"
"L226","1","0","25","1","1","1302","0","false"
"L227","6","0","134","4","1","1302","0","false"
"L228","196","0","1334","7","2","1302","0","false"
"L229","16","0","44","5","1","1302","0","false"
"L230","1","0","8","5","1","1302","0","false"
"L231","1","0","71","2","1","1302","0","false"
"L232","42","0","296","22","1","1302","0","false"
"L233","3","0","110","11","1","1302","0","false"
"L234","32","0","88","1","1","1302","0","false"
"L235","1","0","70","11","1","1302","0","false"
"L236","28","0","63","1","1","1302","0","false"
"L237","50","0","587","42","1","1302","6","false"
"L238","27","0","288","22","2","1302","2","false"
"L239","1","0","39","8","1","1302","0","false"
"L240","1","0","16","15","1","1302","1","false"
"L241","1","0","21","3","1","1302","0","false"
"L242","1","0","28","2","1","1302","0","false"
"L243","28","0","323","42","1","1302","1","false"
"L244","13","0","184","8","1","1302","0","false"
"L245","1","0","9","5","1","1302","0","false"
"L246","1","0","9","3","1","1302","0","false"
"L247","10","0","53","1","1","1302","0","false"
"L248","10","0","53","1","1","1302","0","false"
"L249","2","0","37","2","1","1302","1","false"
"L250","3","0","74","28","1","1302","3","false"
"L251","5","0","91","2","1","1302","0","false"
"L252","1375","0","11297","3","1","1302","0","false"
"L253","1","0","78","12","1","1302","1","false"
"L254","21","0","204","15","1","1302","5","false"
"L255","7","0","107","14","1","1302","1","false"
"L256","15","0","224","33","1","1302","2","false"
"L17415","1","0","0","17","1","1302","2","false"
