@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L217","1","0","69","6","1","1302","0","false"
"L218","28","0","63","1","1","1302","0","false"
"L219","36","0","373","19","1","1302","1","false"
"L220","21","0","305","15","2","1302","2","false"
"L221","3","0","80","6","1","1302","0","false"
"L222","8","0","91","8","1","1302","0","false"
"L223","23","0","309","15","1","1302","0","false"
"L224","1","0","9","2","1","1302","0","false"
"L225","1","0","34","6","1","1302","0","false"
"L226","4","0","18","14","2","1302","1","false"
"L227","1375","0","11296","2","1","1302","0","false"
"L228","1","0","72","2","1","1302","0","false"
"L229","23","0","159","10","1","1302","4","false"
"L230","4","0","66","3","1","1302","0","false"
"L231","14","0","194","13","1","1302","0","false"
