"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L176","ConcurrentMapInterfaceTest.java","src/test/java/org/mapdb/ConcurrentMapInterfaceTest.java","L151","110","0","686","3","1","1302","0","0"
"L177","DBMakerTest.java","src/test/java/org/mapdb/DBMakerTest.java","L151","2","0","289","28","1","1302","0","0"
"L178","DBTest.java","src/test/java/org/mapdb/DBTest.java","L151","1","0","61","10","1","1302","0","0"
"L179","DebugVolume.java","src/test/java/org/mapdb/DebugVolume.java","L151","2","0","112","7","2","1302","1","0"
"L180","EngineTest.java","src/test/java/org/mapdb/EngineTest.java","L151","13","0","188","9","1","1302","0","0"
"L181","EngineWrapper_ImmutabilityCheckEngine.java","src/test/java/org/mapdb/EngineWrapper_ImmutabilityCheckEngine.java","L151","3","0","30","5","1","1302","0","2"
"L182","ExamplesTest.java","src/test/java/org/mapdb/ExamplesTest.java","L151","1","0","60","7","1","1302","0","0"
"L183","FunTest.java","src/test/java/org/mapdb/FunTest.java","L151","33","0","107","2","1","1302","0","0"
"L184","HTreeMap2Test.java","src/test/java/org/mapdb/HTreeMap2Test.java","L151","44","0","427","29","1","1302","1","0"
"L185","HTreeMap3Test.java","src/test/java/org/mapdb/HTreeMap3Test.java","L151","2","0","31","14","1","1302","0","0"
"L186","HTreeSetTest.java","src/test/java/org/mapdb/HTreeSetTest.java","L151","3","0","89","17","1","1302","0","0"
"L187","Issue112Test.java","src/test/java/org/mapdb/Issue112Test.java","L151","1","0","16","2","1","1302","0","0"
"L188","Issue114Test.java","src/test/java/org/mapdb/Issue114Test.java","L151","1","0","9","2","1","1302","0","0"
"L189","Issue132Test.java","src/test/java/org/mapdb/Issue132Test.java","L151","9","0","71","2","1","1302","1","0"
"L190","Issue148Test.java","src/test/java/org/mapdb/Issue148Test.java","L151","12","0","120","3","1","1302","1","0"
"L191","Issue150Test.java","src/test/java/org/mapdb/Issue150Test.java","L151","12","0","87","3","1","1302","0","0"
"L192","Issue154Test.java","src/test/java/org/mapdb/Issue154Test.java","L151","1","0","55","3","1","1302","0","0"
"L193","Issue157Test.java","src/test/java/org/mapdb/Issue157Test.java","L151","5","0","34","1","1","1302","0","0"
"L194","Issue162Test.java","src/test/java/org/mapdb/Issue162Test.java","L151","5","0","85","2","1","1302","0","0"
"L195","Issue164Test.java","src/test/java/org/mapdb/Issue164Test.java","L151","7","0","91","2","1","1302","0","0"
"L196","Issue170Test.java","src/test/java/org/mapdb/Issue170Test.java","L151","2","0","17","1","1","1302","1","0"
"L197","Issue183Test.java","src/test/java/org/mapdb/Issue183Test.java","L151","1","0","52","1","1","1302","0","0"
"L198","Issue198Test.java","src/test/java/org/mapdb/Issue198Test.java","L151","2","0","15","2","1","1302","2","0"
"L199","Issue37Test.java","src/test/java/org/mapdb/Issue37Test.java","L151","6","0","43","9","1","1302","0","0"
"L200","Issue41Test.java","src/test/java/org/mapdb/Issue41Test.java","L151","23","0","206","8","1","1302","0","0"
"L201","Issue69Test.java","src/test/java/org/mapdb/Issue69Test.java","L151","6","0","51","8","1","1302","0","0"
"L202","Issue77Test.java","src/test/java/org/mapdb/Issue77Test.java","L151","4","0","53","1","1","1302","0","0"
"L203","Issue78Test.java","src/test/java/org/mapdb/Issue78Test.java","L151","1","0","21","3","2","1302","0","0"
"L204","Issue86Test.java","src/test/java/org/mapdb/Issue86Test.java","L151","5","0","51","2","1","1302","0","0"
"L205","Issue89Test.java","src/test/java/org/mapdb/Issue89Test.java","L151","2","0","54","1","1","1302","1","0"
"L206","Issue90Test.java","src/test/java/org/mapdb/Issue90Test.java","L151","2","0","20","4","1","1302","2","0"
"L207","IssuesTest.java","src/test/java/org/mapdb/IssuesTest.java","L151","1","0","11","1","1","1302","0","0"
"L208","JSR166TestCase.java","src/test/java/org/mapdb/JSR166TestCase.java","L151","1","0","25","1","1","1302","0","0"
"L209","LoggerVolume.java","src/test/java/org/mapdb/LoggerVolume.java","L151","1","0","151","9","2","1302","1","0"
"L210","LongConcurrentHashMapTest.java","src/test/java/org/mapdb/LongConcurrentHashMapTest.java","L151","6","0","134","4","1","1302","0","0"
"L211","LongHashMapTest.java","src/test/java/org/mapdb/LongHashMapTest.java","L151","6","0","109","9","2","1302","0","0"
"L212","MapInterfaceTest.java","src/test/java/org/mapdb/MapInterfaceTest.java","L151","196","0","1334","6","2","1302","0","0"
"L213","MapListenerTest.java","src/test/java/org/mapdb/MapListenerTest.java","L151","16","0","43","3","1","1302","0","0"
"L214","PumpTest.java","src/test/java/org/mapdb/PumpTest.java","L151","23","0","139","9","1","1302","0","0"
"L215","QueuesTest.java","src/test/java/org/mapdb/QueuesTest.java","L151","1","0","64","4","1","1302","0","0"
"L216","Serialization2Bean.java","src/test/java/org/mapdb/Serialization2Bean.java","L151","32","0","88","1","1","1302","0","0"
"L217","Serialization2Test.java","src/test/java/org/mapdb/Serialization2Test.java","L151","1","0","69","6","1","1302","0","0"
"L218","Serialized2DerivedBean.java","src/test/java/org/mapdb/Serialized2DerivedBean.java","L151","28","0","63","1","1","1302","0","0"
"L219","SerializerBaseTest.java","src/test/java/org/mapdb/SerializerBaseTest.java","L151","36","0","373","19","1","1302","1","0"
"L220","SerializerPojoTest.java","src/test/java/org/mapdb/SerializerPojoTest.java","L151","21","0","305","15","2","1302","2","0"
"L221","StoreAppendTest.java","src/test/java/org/mapdb/StoreAppendTest.java","L151","3","0","80","6","1","1302","0","0"
"L222","StoreDirectFreeSpaceTest.java","src/test/java/org/mapdb/StoreDirectFreeSpaceTest.java","L151","8","0","91","8","1","1302","0","0"
"L223","StoreDirectTest.java","src/test/java/org/mapdb/StoreDirectTest.java","L151","23","0","309","15","1","1302","0","0"
"L224","StoreHeapTest.java","src/test/java/org/mapdb/StoreHeapTest.java","L151","1","0","9","2","1","1302","0","0"
"L225","StoreWALTest.java","src/test/java/org/mapdb/StoreWALTest.java","L151","1","0","34","6","1","1302","0","0"
"L226","TestFile.java","src/test/java/org/mapdb/TestFile.java","L151","4","0","18","14","2","1302","1","0"
"L227","TreeMapExtendTest.java","src/test/java/org/mapdb/TreeMapExtendTest.java","L151","1375","0","11296","2","1","1302","0","0"
"L228","TxEngineTest.java","src/test/java/org/mapdb/TxEngineTest.java","L151","1","0","72","2","1","1302","0","0"
"L229","TxMakerTest.java","src/test/java/org/mapdb/TxMakerTest.java","L151","23","0","159","10","1","1302","4","0"
"L230","UtilsTest.java","src/test/java/org/mapdb/UtilsTest.java","L151","4","0","66","3","1","1302","0","0"
"L231","VolumeTest.java","src/test/java/org/mapdb/VolumeTest.java","L151","14","0","194","13","1","1302","0","0"
