"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of developer commits","Number of committers","Number of previous fixes","Number of previous modifications","Number of bugs"
"L2449","DelimitedInputParseFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/DelimitedInputParseFn.java","L2446","3","0","24","0","0","0","1","0"
"L2450","ExistingMappingsMapFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/ExistingMappingsMapFn.java","L2446","1","0","14","0","0","0","1","0"
"L2451","InboundJoinFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/InboundJoinFn.java","L2446","1","0","11","0","0","0","1","0"
"L2452","JoinBeforeMapFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/JoinBeforeMapFn.java","L2446","1","0","11","0","0","0","1","0"
"L2453","MappingParseFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/MappingParseFn.java","L2446","3","0","22","0","0","0","1","0"
"L2454","MergeIDMappingStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/MergeIDMappingStep.java","L2446","3","0","44","0","0","0","1","1"
"L2455","MergeNewOldStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/MergeNewOldStep.java","L2446","3","0","58","0","0","0","1","1"
"L2456","MergeNewOldValuesFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/MergeNewOldValuesFn.java","L2446","26","0","124","0","0","0","1","0"
"L2457","ToItemVectorsStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/ToItemVectorsStep.java","L2446","1","0","21","0","0","0","1","0"
"L2458","ToUserVectorsStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/ToUserVectorsStep.java","L2446","1","0","19","0","0","0","1","0"
"L2459","ToVectorReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/ToVectorReduceFn.java","L2446","3","0","18","0","0","0","1","0"
"L2460","TransposeUserItemFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/merge/TransposeUserItemFn.java","L2446","1","0","10","0","0","0","1","0"
"L2636","AbstractPopularStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/popular/AbstractPopularStep.java","L2635","2","0","28","0","0","0","1","0"
"L2637","PopularItemStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/popular/PopularItemStep.java","L2635","1","0","14","0","0","0","1","0"
"L2638","PopularMapFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/popular/PopularMapFn.java","L2635","2","0","28","0","0","0","1","0"
"L2639","PopularReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/popular/PopularReduceFn.java","L2635","3","0","20","0","0","0","1","0"
"L2640","PopularUserStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/popular/PopularUserStep.java","L2635","1","0","14","0","0","0","1","0"
"L2697","PublishMapFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/publish/PublishMapFn.java","L2696","2","0","17","0","0","0","1","0"
"L2698","PublishStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/publish/PublishStep.java","L2696","3","0","33","0","0","0","1","0"
"L2699","PublishXStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/publish/PublishXStep.java","L2696","1","0","10","0","0","0","1","0"
"L2700","PublishYStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/publish/PublishYStep.java","L2696","1","0","10","0","0","0","1","0"
"L2737","CollectRecommendFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/CollectRecommendFn.java","L2736","3","0","39","0","0","0","1","0"
"L2738","CollectRecommendStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/CollectRecommendStep.java","L2736","2","0","34","0","0","0","1","1"
"L2739","DistributeRecommendWorkFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/DistributeRecommendWorkFn.java","L2736","2","0","25","0","0","0","1","0"
"L2740","DistributeRecommendWorkStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/DistributeRecommendWorkStep.java","L2736","2","0","50","0","0","0","1","1"
"L2741","KnownItemsFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/KnownItemsFn.java","L2736","2","0","26","0","0","0","1","0"
"L2742","RecommendIterator.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/RecommendIterator.java","L2736","2","0","40","0","0","0","1","0"
"L2743","RecommendReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/RecommendReduceFn.java","L2736","4","0","50","0","0","0","1","0"
"L2744","RecommendStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/recommend/RecommendStep.java","L2736","2","0","45","0","0","0","1","1"
"L2857","DistributeSimilarWorkMapFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/similar/DistributeSimilarWorkMapFn.java","L2856","2","0","23","0","0","0","1","0"
"L2858","DistributeSimilarWorkReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/similar/DistributeSimilarWorkReduceFn.java","L2856","4","0","46","0","0","0","1","0"
"L2859","DistributeSimilarWorkStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/similar/DistributeSimilarWorkStep.java","L2856","2","0","48","0","0","0","1","1"
"L2860","MostSimilarItemIterator.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/similar/MostSimilarItemIterator.java","L2856","3","0","47","0","0","0","1","0"
"L2861","SimilarReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/similar/SimilarReduceFn.java","L2856","3","0","39","0","0","0","1","0"
"L2862","SimilarStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/similar/SimilarStep.java","L2856","2","0","34","0","0","0","1","1"
"L2939","ALSTypes.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/types/ALSTypes.java","L2938","5","0","101","0","0","0","1","0"
"L2940","MatrixRow.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/types/MatrixRow.java","L2938","3","0","44","0","0","0","1","0"
"L2024","ConvergenceSampleFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/iterate/row/ConvergenceSampleFn.java","L2023","5","0","44","0","0","0","1","0"
"L2025","RowReduceFn.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/iterate/row/RowReduceFn.java","L2023","12","0","99","0","0","0","1","0"
"L2026","RowStep.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/iterate/row/RowStep.java","L2023","10","0","91","0","0","0","1","1"
"L2027","YState.java","als-computation/src/main/java/com/cloudera/oryx/als/computation/iterate/row/YState.java","L2023","10","0","84","0","0","0","1","0"
"L3020","AbstractRescorerProvider.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/AbstractRescorerProvider.java","L3019","5","0","39","0","0","0","1","0"
"L3021","MostPopularItemsIterator.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/MostPopularItemsIterator.java","L3019","4","0","48","0","0","0","1","0"
"L3022","MostSimilarItemIterator.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/MostSimilarItemIterator.java","L3019","10","0","80","0","0","0","1","0"
"L3023","MultiLongPairRescorer.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/MultiLongPairRescorer.java","L3019","5","0","32","0","0","0","1","0"
"L3024","MultiRescorer.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/MultiRescorer.java","L3019","5","0","31","0","0","0","1","0"
"L3025","MultiRescorerProvider.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/MultiRescorerProvider.java","L3019","13","0","81","0","0","0","1","0"
"L3026","RecommendedBecauseIterator.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/RecommendedBecauseIterator.java","L3019","2","0","40","0","0","0","1","0"
"L3027","RecommendIterator.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/RecommendIterator.java","L3019","8","0","74","0","0","0","1","0"
"L3028","RescorerProvider.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/RescorerProvider.java","L3019","1","0","10","0","0","0","1","0"
"L3029","ServerRecommender.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/ServerRecommender.java","L3019","85","0","801","0","0","0","1","1"
"L3051","AbstractALSServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/AbstractALSServlet.java","L3050","4","0","61","0","0","0","1","1"
"L3052","ALSServingInitListener.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/ALSServingInitListener.java","L3050","5","0","67","0","0","0","1","1"
"L3053","BecauseServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/BecauseServlet.java","L3050","9","0","48","0","0","0","1","1"
"L3054","EstimateForAnonymousServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/EstimateForAnonymousServlet.java","L3050","6","0","48","0","0","0","1","1"
"L3055","EstimateServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/EstimateServlet.java","L3050","6","0","45","0","0","0","1","1"
"L3056","IngestServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/IngestServlet.java","L3050","15","0","71","0","0","0","1","1"
"L3057","MostPopularItemsServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/MostPopularItemsServlet.java","L3050","4","0","24","0","0","0","1","0"
"L3058","PreferenceServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/PreferenceServlet.java","L3050","9","0","76","0","0","0","1","1"
"L3059","ReadyServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/ReadyServlet.java","L3050","2","0","19","0","0","0","1","0"
"L3060","RecommendServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/RecommendServlet.java","L3050","9","0","48","0","0","0","1","1"
"L3061","RecommendToAnonymousServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/RecommendToAnonymousServlet.java","L3050","12","0","75","0","0","0","1","0"
"L3062","RecommendToManyServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/RecommendToManyServlet.java","L3050","8","0","47","0","0","0","1","1"
"L3063","RefreshServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/RefreshServlet.java","L3050","1","0","11","0","0","0","1","0"
"L3064","SimilarityServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/SimilarityServlet.java","L3050","9","0","59","0","0","0","1","1"
"L3065","SimilarityToItemServlet.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/web/SimilarityToItemServlet.java","L3050","8","0","51","0","0","0","1","1"
"L3524","CandidateFilter.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/candidate/CandidateFilter.java","L3523","1","0","8","0","0","0","1","0"
"L3525","CandidateFilterFactory.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/candidate/CandidateFilterFactory.java","L3523","5","0","40","0","0","0","1","0"
"L3526","IdentityCandidateFilter.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/candidate/IdentityCandidateFilter.java","L3523","1","0","18","0","0","0","1","0"
"L3527","LocationSensitiveHashFilter.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/candidate/LocationSensitiveHashFilter.java","L3523","1","0","19","0","0","0","1","0"
"L3594","ALSGenerationManager.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/generation/ALSGenerationManager.java","L3593","8","0","87","0","0","0","1","2"
"L3595","Generation.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/generation/Generation.java","L3593","5","0","101","0","0","0","1","0"
"L3596","GenerationLoader.java","als-serving/src/main/java/com/cloudera/oryx/als/serving/generation/GenerationLoader.java","L3593","17","0","220","0","0","0","1","1"
"L3037","MultiRescorerProviderTest.java","als-serving/src/test/java/com/cloudera/oryx/als/serving/MultiRescorerProviderTest.java","L3036","1","0","65","0","0","0","1","0"
"L3038","SimpleModRescorer.java","als-serving/src/test/java/com/cloudera/oryx/als/serving/SimpleModRescorer.java","L3036","4","0","25","0","0","0","1","0"
"L3039","SimpleModRescorerProvider.java","als-serving/src/test/java/com/cloudera/oryx/als/serving/SimpleModRescorerProvider.java","L3036","3","0","26","0","0","0","1","0"
"L3049","test_002dals_jspx.java","als-serving/src/gen/java/com/cloudera/oryx/als/serving/web/test_002dals_jspx.java","L3048","8","0","458","0","0","0","1","0"
"L4237","ClassUtils.java","common/src/main/java/com/cloudera/oryx/common/ClassUtils.java","L4236","8","0","75","0","0","0","1","0"
"L4238","LangUtils.java","common/src/main/java/com/cloudera/oryx/common/LangUtils.java","L4236","1","0","22","0","0","0","1","0"
"L4239","ReloadingReference.java","common/src/main/java/com/cloudera/oryx/common/ReloadingReference.java","L4236","12","0","88","0","0","0","1","0"
"L4590","AbstractRealVectorPreservingVisitor.java","common/src/main/java/com/cloudera/oryx/common/math/AbstractRealVectorPreservingVisitor.java","L4589","1","0","11","0","0","0","1","0"
"L4591","CommonsMathLinearSystemSolver.java","common/src/main/java/com/cloudera/oryx/common/math/CommonsMathLinearSystemSolver.java","L4589","3","0","35","0","0","0","1","1"
"L4592","CommonsMathSolver.java","common/src/main/java/com/cloudera/oryx/common/math/CommonsMathSolver.java","L4589","4","0","31","0","0","0","1","0"
"L4593","IllConditionedSolverException.java","common/src/main/java/com/cloudera/oryx/common/math/IllConditionedSolverException.java","L4589","1","0","8","0","0","0","1","0"
"L4594","InverseBasedSolver.java","common/src/main/java/com/cloudera/oryx/common/math/InverseBasedSolver.java","L4589","3","0","25","0","0","0","1","0"
"L4595","LinearSystemSolver.java","common/src/main/java/com/cloudera/oryx/common/math/LinearSystemSolver.java","L4589","1","0","7","0","0","0","1","0"
"L4596","MatrixUtils.java","common/src/main/java/com/cloudera/oryx/common/math/MatrixUtils.java","L4589","11","0","83","0","0","0","1","0"
"L4597","NamedRealVector.java","common/src/main/java/com/cloudera/oryx/common/math/NamedRealVector.java","L4589","7","0","85","0","0","0","1","0"
"L4598","OpenMapRealVector.java","common/src/main/java/com/cloudera/oryx/common/math/OpenMapRealVector.java","L4589","69","0","566","0","0","0","1","0"
"L4599","SimpleVectorMath.java","common/src/main/java/com/cloudera/oryx/common/math/SimpleVectorMath.java","L4589","4","0","26","0","0","0","1","0"
"L4600","SingularMatrixSolverException.java","common/src/main/java/com/cloudera/oryx/common/math/SingularMatrixSolverException.java","L4589","1","0","15","0","0","0","1","0"
"L4601","Solver.java","common/src/main/java/com/cloudera/oryx/common/math/Solver.java","L4589","1","0","5","0","0","0","1","0"
"L4602","SolverException.java","common/src/main/java/com/cloudera/oryx/common/math/SolverException.java","L4589","1","0","11","0","0","0","1","0"
"L4603","SparseRealVector.java","common/src/main/java/com/cloudera/oryx/common/math/SparseRealVector.java","L4589","3","0","61","0","0","0","1","0"
"L4604","Vectors.java","common/src/main/java/com/cloudera/oryx/common/math/Vectors.java","L4589","2","0","22","0","0","0","1","0"
"L5199","DoubleWeightedMean.java","common/src/main/java/com/cloudera/oryx/common/stats/DoubleWeightedMean.java","L5198","5","0","72","0","0","0","1","0"
"L5200","IntegerWeightedMean.java","common/src/main/java/com/cloudera/oryx/common/stats/IntegerWeightedMean.java","L5198","5","0","79","0","0","0","1","0"
"L5201","JVMEnvironment.java","common/src/main/java/com/cloudera/oryx/common/stats/JVMEnvironment.java","L5198","4","0","40","0","0","0","1","0"
"L5202","RunningStatistics.java","common/src/main/java/com/cloudera/oryx/common/stats/RunningStatistics.java","L5198","1","0","32","0","0","0","1","0"
"L5203","RunningStatisticsPerTime.java","common/src/main/java/com/cloudera/oryx/common/stats/RunningStatisticsPerTime.java","L5198","16","0","84","0","0","0","1","0"
"L5204","UpdatableVariance.java","common/src/main/java/com/cloudera/oryx/common/stats/UpdatableVariance.java","L5198","4","0","42","0","0","0","1","0"
"L5586","BitSet.java","common/src/main/java/com/cloudera/oryx/common/collection/BitSet.java","L5585","11","0","82","0","0","0","1","0"
"L5587","LongFloatMap.java","common/src/main/java/com/cloudera/oryx/common/collection/LongFloatMap.java","L5585","58","0","386","0","0","0","1","0"
"L5588","LongObjectMap.java","common/src/main/java/com/cloudera/oryx/common/collection/LongObjectMap.java","L5585","63","0","475","0","0","0","1","0"
"L5589","LongSet.java","common/src/main/java/com/cloudera/oryx/common/collection/LongSet.java","L5585","66","0","293","0","0","0","1","0"
"L5590","SamplingLongPrimitiveIterator.java","common/src/main/java/com/cloudera/oryx/common/collection/SamplingLongPrimitiveIterator.java","L5585","7","0","65","0","0","0","1","0"
"L6256","DelimitedDataUtils.java","common/src/main/java/com/cloudera/oryx/common/io/DelimitedDataUtils.java","L6255","25","0","131","0","0","0","1","0"
"L6257","IOUtils.java","common/src/main/java/com/cloudera/oryx/common/io/IOUtils.java","L6255","16","0","119","0","0","0","1","0"
"L6258","Varint.java","common/src/main/java/com/cloudera/oryx/common/io/Varint.java","L6255","7","0","85","0","0","0","1","0"
"L6524","AbstractLongPrimitiveIterator.java","common/src/main/java/com/cloudera/oryx/common/iterator/AbstractLongPrimitiveIterator.java","L6523","1","0","7","0","0","0","1","0"
"L6525","ArrayIterable.java","common/src/main/java/com/cloudera/oryx/common/iterator/ArrayIterable.java","L6523","1","0","21","0","0","0","1","0"
"L6526","ArrayIterator.java","common/src/main/java/com/cloudera/oryx/common/iterator/ArrayIterator.java","L6523","2","0","37","0","0","0","1","0"
"L6527","FileLineIterable.java","common/src/main/java/com/cloudera/oryx/common/iterator/FileLineIterable.java","L6523","1","0","19","0","0","0","1","0"
"L6528","FileLineIterator.java","common/src/main/java/com/cloudera/oryx/common/iterator/FileLineIterator.java","L6523","4","0","33","0","0","0","1","0"
"L6529","LongPrimitiveArrayIterator.java","common/src/main/java/com/cloudera/oryx/common/iterator/LongPrimitiveArrayIterator.java","L6523","3","0","42","0","0","0","1","0"
"L6530","LongPrimitiveIterator.java","common/src/main/java/com/cloudera/oryx/common/iterator/LongPrimitiveIterator.java","L6523","1","0","4","0","0","0","1","0"
"L6531","SkippingIterator.java","common/src/main/java/com/cloudera/oryx/common/iterator/SkippingIterator.java","L6523","1","0","5","0","0","0","1","0"
"L6659","MemoryHandler.java","common/src/main/java/com/cloudera/oryx/common/log/MemoryHandler.java","L6658","3","0","42","0","0","0","1","0"
"L6726","ExecutorUtils.java","common/src/main/java/com/cloudera/oryx/common/parallel/ExecutorUtils.java","L6725","11","0","60","0","0","0","1","0"
"L6802","PMMLUtils.java","common/src/main/java/com/cloudera/oryx/common/pmml/PMMLUtils.java","L6801","16","0","113","0","0","0","1","1"
"L6849","RandomManager.java","common/src/main/java/com/cloudera/oryx/common/random/RandomManager.java","L6848","3","0","34","0","0","0","1","0"
"L6850","RandomUtils.java","common/src/main/java/com/cloudera/oryx/common/random/RandomUtils.java","L6848","16","0","94","0","0","0","1","0"
"L6964","APISettings.java","common/src/main/java/com/cloudera/oryx/common/settings/APISettings.java","L6963","7","0","77","0","0","0","1","0"
"L6965","ConfigUtils.java","common/src/main/java/com/cloudera/oryx/common/settings/ConfigUtils.java","L6963","5","0","31","0","0","0","1","0"
