@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L166","3","0","34","2","1","1302","0","false"
"L167","47","0","585","6","1","1302","0","false"
"L168","33","0","353","40","2","1302","3","false"
"L169","2","0","38","21","1","1302","1","false"
"L170","30","0","212","4","1","1302","0","false"
"L171","122","0","1390","10","1","1302","0","false"
"L172","47","0","982","6","1","1302","0","false"
"L173","111","0","927","7","1","1302","0","false"
"L174","98","0","685","9","1","1302","0","false"
"L175","51","0","783","3","1","1302","0","false"
"L176","1","0","13","13","2","1302","0","false"
"L177","5","0","43","7","1","1302","0","false"
"L178","3","0","13","2","1","1302","0","false"
"L179","1","0","118","2","1","1302","0","false"
"L180","1","0","46","21","1","1302","0","false"
"L181","110","0","686","3","1","1302","0","false"
"L182","1","0","25","1","1","1302","0","false"
"L183","3","0","313","39","1","1302","1","false"
"L184","1","0","81","16","1","1302","2","false"
"L185","2","0","117","9","2","1302","1","false"
"L186","13","0","188","9","1","1302","0","false"
"L187","3","0","31","9","1","1302","1","false"
"L188","1","0","64","10","1","1302","0","false"
"L189","55","0","182","4","1","1302","0","false"
"L190","47","0","468","39","1","1302","1","false"
"L191","2","0","35","22","1","1302","1","false"
"L192","3","0","90","26","1","1302","1","false"
"L193","1","0","16","4","1","1302","1","false"
"L194","1","0","10","4","1","1302","0","false"
"L195","9","0","71","6","1","1302","2","false"
"L196","12","0","124","7","1","1302","1","false"
"L197","12","0","91","5","1","1302","0","false"
"L198","1","0","55","4","1","1302","0","false"
"L199","5","0","34","2","1","1302","0","false"
"L200","5","0","89","5","1","1302","0","false"
"L201","7","0","91","2","1","1302","0","false"
"L202","2","0","17","3","1","1302","1","false"
"L203","1","0","54","4","1","1302","0","false"
"L204","2","0","14","4","1","1302","2","false"
"L205","1","0","31","4","1","1302","1","false"
"L206","1","0","44","4","1","1302","0","false"
"L207","1","0","25","4","1","1302","0","false"
"L208","6","0","82","4","1","1302","0","false"
"L209","13","0","163","4","1","1302","0","false"
"L210","5","0","29","1","1","1302","1","false"
"L211","1","0","41","1","1","1302","1","false"
"L212","1","0","54","2","1","1302","1","false"
"L213","1","0","32","2","1","1302","1","false"
"L214","2","0","26","1","1","1302","1","false"
"L215","6","0","43","11","1","1302","0","false"
"L216","23","0","214","10","1","1302","0","false"
"L217","6","0","50","9","1","1302","0","false"
"L218","4","0","52","3","1","1302","0","false"
"L219","1","0","22","4","2","1302","0","false"
"L220","5","0","51","3","1","1302","0","false"
"L221","2","0","53","3","1","1302","1","false"
"L222","2","0","20","5","1","1302","2","false"
"L223","1","0","11","2","1","1302","0","false"
"L224","1","0","25","1","1","1302","0","false"
"L225","1","0","155","11","2","1302","1","false"
"L226","6","0","134","4","1","1302","0","false"
"L227","6","0","109","9","2","1302","0","false"
"L228","196","0","1334","6","2","1302","0","false"
"L229","16","0","44","5","1","1302","0","false"
"L230","3","0","20","4","1","1302","0","false"
"L231","42","0","289","17","1","1302","0","false"
"L232","3","0","110","10","1","1302","0","false"
"L233","32","0","88","1","1","1302","0","false"
"L234","1","0","67","8","1","1302","0","false"
"L235","28","0","63","1","1","1302","0","false"
"L236","45","0","634","35","1","1302","6","false"
"L237","21","0","267","18","2","1302","2","false"
"L238","1","0","33","6","1","1302","0","false"
"L239","3","0","84","10","1","1302","1","false"
"L240","11","0","102","14","1","1302","2","false"
"L241","27","0","356","27","1","1302","1","false"
"L242","1","0","9","2","1","1302","0","false"
"L243","2","0","37","2","1","1302","1","false"
"L244","3","0","64","16","1","1302","1","false"
"L245","4","0","18","19","2","1302","2","false"
"L246","5","0","91","2","1","1302","0","false"
"L247","1375","0","11297","3","1","1302","0","false"
"L248","1","0","76","7","1","1302","1","false"
"L249","23","0","192","13","1","1302","5","false"
"L250","6","0","98","10","1","1302","1","false"
