"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of committers","Number of developer commits","Number of previous fixes","Number of bugs"
"L15762","TreeMap_Performance_Tunning.java","src/test/java/examples/TreeMap_Performance_Tunning.java","L15740","6","0","48","7","1","1302","0","0"
"L111","AsyncWriteEngine.java","src/main/java/org/mapdb/AsyncWriteEngine.java","L110","50","0","323","69","5","1302","3","1"
"L112","Atomic.java","src/main/java/org/mapdb/Atomic.java","L110","36","0","272","9","1","1302","1","0"
"L113","Bind.java","src/main/java/org/mapdb/Bind.java","L110","68","0","262","20","2","1302","0","0"
"L114","BTreeKeySerializer.java","src/main/java/org/mapdb/BTreeKeySerializer.java","L110","171","0","804","24","1","1302","1","0"
"L115","BTreeMap.java","src/main/java/org/mapdb/BTreeMap.java","L110","455","0","2160","84","4","1302","8","0"
"L116","Caches.java","src/main/java/org/mapdb/Caches.java","L110","42","0","480","7","1","1302","0","0"
"L117","CC.java","src/main/java/org/mapdb/CC.java","L110","1","0","14","23","1","1302","1","0"
"L118","CompressLZF.java","src/main/java/org/mapdb/CompressLZF.java","L110","27","0","148","13","1","1302","2","1"
"L119","DataInput2.java","src/main/java/org/mapdb/DataInput2.java","L110","5","0","117","9","1","1302","1","0"
"L120","DataOutput2.java","src/main/java/org/mapdb/DataOutput2.java","L110","6","0","122","12","1","1302","1","0"
"L121","DB.java","src/main/java/org/mapdb/DB.java","L110","159","0","1127","74","2","1302","2","3"
"L122","DBMaker.java","src/main/java/org/mapdb/DBMaker.java","L110","53","0","493","103","2","1302","8","0"
"L123","EncryptionXTEA.java","src/main/java/org/mapdb/EncryptionXTEA.java","L110","10","0","166","9","1","1302","0","0"
"L124","Engine.java","src/main/java/org/mapdb/Engine.java","L110","1","0","28","29","2","1302","2","0"
"L125","EngineWrapper.java","src/main/java/org/mapdb/EngineWrapper.java","L110","25","0","429","37","2","1302","3","0"
"L126","Fun.java","src/main/java/org/mapdb/Fun.java","L110","162","0","743","25","1","1302","1","0"
"L127","Hasher.java","src/main/java/org/mapdb/Hasher.java","L110","1","0","76","2","1","1302","0","0"
"L128","HTreeMap.java","src/main/java/org/mapdb/HTreeMap.java","L110","236","0","1251","73","3","1302","2","0"
"L129","LongConcurrentHashMap.java","src/main/java/org/mapdb/LongConcurrentHashMap.java","L110","102","0","517","11","2","1302","0","0"
"L130","LongConcurrentLRUMap.java","src/main/java/org/mapdb/LongConcurrentLRUMap.java","L110","57","0","407","11","1","1302","0","1"
"L131","LongHashMap.java","src/main/java/org/mapdb/LongHashMap.java","L110","31","0","286","14","2","1302","0","0"
"L132","LongMap.java","src/main/java/org/mapdb/LongMap.java","L110","3","0","38","7","2","1302","0","0"
"L133","Pump.java","src/main/java/org/mapdb/Pump.java","L110","58","0","313","29","1","1302","2","1"
"L134","Queues.java","src/main/java/org/mapdb/Queues.java","L110","38","0","344","21","2","1302","1","0"
"L135","Serializer.java","src/main/java/org/mapdb/Serializer.java","L110","27","0","367","35","2","1302","0","0"
"L136","SerializerBase.java","src/main/java/org/mapdb/SerializerBase.java","L110","492","0","1744","68","1","1302","5","0"
"L137","SerializerPojo.java","src/main/java/org/mapdb/SerializerPojo.java","L110","67","0","449","42","2","1302","3","0"
"L138","Store.java","src/main/java/org/mapdb/Store.java","L110","32","0","246","32","2","1302","4","0"
"L139","StoreAppend.java","src/main/java/org/mapdb/StoreAppend.java","L110","61","0","510","47","1","1302","6","0"
"L140","StoreDirect.java","src/main/java/org/mapdb/StoreDirect.java","L110","135","0","795","87","3","1302","10","0"
"L141","StoreHeap.java","src/main/java/org/mapdb/StoreHeap.java","L110","20","0","216","21","1","1302","0","0"
"L142","StoreWAL.java","src/main/java/org/mapdb/StoreWAL.java","L110","134","0","856","72","1","1302","10","2"
"L143","TxBlock.java","src/main/java/org/mapdb/TxBlock.java","L110","1","0","4","1","1","1302","0","0"
"L144","TxEngine.java","src/main/java/org/mapdb/TxEngine.java","L110","61","0","524","24","1","1302","2","0"
"L145","TxMaker.java","src/main/java/org/mapdb/TxMaker.java","L110","13","0","56","28","1","1302","4","0"
"L146","TxRollbackException.java","src/main/java/org/mapdb/TxRollbackException.java","L110","1","0","4","2","1","1302","0","0"
"L147","Volume.java","src/main/java/org/mapdb/Volume.java","L110","85","0","673","68","3","1302","11","1"
"L152","AsyncWriteEngineTest.java","src/test/java/org/mapdb/AsyncWriteEngineTest.java","L151","8","0","98","26","1","1302","0","0"
"L153","AtomicBooleanTest.java","src/test/java/org/mapdb/AtomicBooleanTest.java","L151","2","0","61","9","1","1302","0","0"
"L154","AtomicIntegerTest.java","src/test/java/org/mapdb/AtomicIntegerTest.java","L151","6","0","119","8","1","1302","0","0"
"L155","AtomicLongTest.java","src/test/java/org/mapdb/AtomicLongTest.java","L151","6","0","131","9","1","1302","0","0"
"L156","BindTest.java","src/test/java/org/mapdb/BindTest.java","L151","12","0","157","6","1","1302","1","0"
"L157","BrokenDBTest.java","src/test/java/org/mapdb/BrokenDBTest.java","L151","11","0","108","10","1","1302","1","0"
"L158","BTreeKeySerializerTest.java","src/test/java/org/mapdb/BTreeKeySerializerTest.java","L151","25","0","245","10","1","1302","0","0"
"L159","BTreeMapContainsKeyTest.java","src/test/java/org/mapdb/BTreeMapContainsKeyTest.java","L151","1","0","38","8","2","1302","1","0"
"L160","BTreeMapExtendTest.java","src/test/java/org/mapdb/BTreeMapExtendTest.java","L151","811","0","6251","5","1","1302","0","0"
"L161","BTreeMapLargeValsTest.java","src/test/java/org/mapdb/BTreeMapLargeValsTest.java","L151","2","0","39","21","1","1302","1","0"
"L162","BTreeMapNavigable2Test.java","src/test/java/org/mapdb/BTreeMapNavigable2Test.java","L151","12","0","387","10","2","1302","0","0"
"L163","BTreeMapNavigableSubMapExclusiveTest.java","src/test/java/org/mapdb/BTreeMapNavigableSubMapExclusiveTest.java","L151","1","0","15","5","2","1302","0","0"
"L164","BTreeMapNavigableSubMapInclusiveTest.java","src/test/java/org/mapdb/BTreeMapNavigableSubMapInclusiveTest.java","L151","1","0","13","5","2","1302","0","0"
"L165","BTreeMapNavigableTest.java","src/test/java/org/mapdb/BTreeMapNavigableTest.java","L151","1","0","243","6","1","1302","0","0"
"L166","BTreeMapParTest.java","src/test/java/org/mapdb/BTreeMapParTest.java","L151","3","0","34","2","1","1302","0","0"
"L167","BTreeMapSubSetTest.java","src/test/java/org/mapdb/BTreeMapSubSetTest.java","L151","47","0","585","6","1","1302","0","0"
"L168","BTreeMapTest.java","src/test/java/org/mapdb/BTreeMapTest.java","L151","33","0","353","40","2","1302","3","0"
"L169","BTreeMapTest2.java","src/test/java/org/mapdb/BTreeMapTest2.java","L151","2","0","38","21","1","1302","1","0"
"L170","BTreeMapTest3.java","src/test/java/org/mapdb/BTreeMapTest3.java","L151","30","0","212","4","1","1302","0","0"
"L171","BTreeMapTest4.java","src/test/java/org/mapdb/BTreeMapTest4.java","L151","122","0","1390","10","1","1302","0","0"
"L172","BTreeMapTest5.java","src/test/java/org/mapdb/BTreeMapTest5.java","L151","47","0","982","6","1","1302","0","0"
"L173","BTreeMapTest6.java","src/test/java/org/mapdb/BTreeMapTest6.java","L151","111","0","927","7","1","1302","0","0"
"L174","BTreeSet2Test.java","src/test/java/org/mapdb/BTreeSet2Test.java","L151","98","0","685","9","1","1302","0","0"
"L175","BTreeSet3Test.java","src/test/java/org/mapdb/BTreeSet3Test.java","L151","51","0","783","3","1","1302","0","0"
"L176","BTreeSetTest.java","src/test/java/org/mapdb/BTreeSetTest.java","L151","1","0","13","13","2","1302","0","0"
"L177","CacheWeakSoftRefTest.java","src/test/java/org/mapdb/CacheWeakSoftRefTest.java","L151","5","0","43","7","1","1302","0","0"
"L178","CCTest.java","src/test/java/org/mapdb/CCTest.java","L151","3","0","13","2","1","1302","0","0"
"L179","ClosedThrowsExceptionTest.java","src/test/java/org/mapdb/ClosedThrowsExceptionTest.java","L151","1","0","118","2","1","1302","0","0"
"L180","CompressTest.java","src/test/java/org/mapdb/CompressTest.java","L151","1","0","46","21","1","1302","0","0"
"L181","ConcurrentMapInterfaceTest.java","src/test/java/org/mapdb/ConcurrentMapInterfaceTest.java","L151","110","0","686","3","1","1302","0","0"
"L182","DataOutput2Test.java","src/test/java/org/mapdb/DataOutput2Test.java","L151","1","0","25","1","1","1302","0","0"
"L183","DBMakerTest.java","src/test/java/org/mapdb/DBMakerTest.java","L151","3","0","313","39","1","1302","1","0"
"L184","DBTest.java","src/test/java/org/mapdb/DBTest.java","L151","1","0","81","16","1","1302","2","0"
"L185","DebugVolume.java","src/test/java/org/mapdb/DebugVolume.java","L151","2","0","117","9","2","1302","1","0"
"L186","EngineTest.java","src/test/java/org/mapdb/EngineTest.java","L151","13","0","188","9","1","1302","0","0"
"L187","EngineWrapper_ImmutabilityCheckEngine.java","src/test/java/org/mapdb/EngineWrapper_ImmutabilityCheckEngine.java","L151","3","0","31","9","1","1302","1","0"
"L188","ExamplesTest.java","src/test/java/org/mapdb/ExamplesTest.java","L151","1","0","64","10","1","1302","0","0"
"L189","FunTest.java","src/test/java/org/mapdb/FunTest.java","L151","55","0","182","4","1","1302","0","0"
"L190","HTreeMap2Test.java","src/test/java/org/mapdb/HTreeMap2Test.java","L151","47","0","468","39","1","1302","1","0"
"L191","HTreeMap3Test.java","src/test/java/org/mapdb/HTreeMap3Test.java","L151","2","0","35","22","1","1302","1","0"
"L192","HTreeSetTest.java","src/test/java/org/mapdb/HTreeSetTest.java","L151","3","0","90","26","1","1302","1","0"
"L193","Issue112Test.java","src/test/java/org/mapdb/Issue112Test.java","L151","1","0","16","4","1","1302","1","0"
"L194","Issue114Test.java","src/test/java/org/mapdb/Issue114Test.java","L151","1","0","10","4","1","1302","0","0"
"L195","Issue132Test.java","src/test/java/org/mapdb/Issue132Test.java","L151","9","0","71","6","1","1302","2","0"
"L196","Issue148Test.java","src/test/java/org/mapdb/Issue148Test.java","L151","12","0","124","7","1","1302","1","0"
"L197","Issue150Test.java","src/test/java/org/mapdb/Issue150Test.java","L151","12","0","91","5","1","1302","0","0"
"L198","Issue154Test.java","src/test/java/org/mapdb/Issue154Test.java","L151","1","0","55","4","1","1302","0","0"
"L199","Issue157Test.java","src/test/java/org/mapdb/Issue157Test.java","L151","5","0","34","2","1","1302","0","0"
"L200","Issue162Test.java","src/test/java/org/mapdb/Issue162Test.java","L151","5","0","89","5","1","1302","0","0"
"L201","Issue164Test.java","src/test/java/org/mapdb/Issue164Test.java","L151","7","0","91","2","1","1302","0","0"
"L202","Issue170Test.java","src/test/java/org/mapdb/Issue170Test.java","L151","2","0","17","3","1","1302","1","0"
"L203","Issue183Test.java","src/test/java/org/mapdb/Issue183Test.java","L151","1","0","54","4","1","1302","0","0"
"L204","Issue198Test.java","src/test/java/org/mapdb/Issue198Test.java","L151","2","0","14","4","1","1302","2","0"
"L205","Issue237Test.java","src/test/java/org/mapdb/Issue237Test.java","L151","1","0","31","4","1","1302","1","0"
"L206","Issue241.java","src/test/java/org/mapdb/Issue241.java","L151","1","0","44","4","1","1302","0","0"
"L207","Issue247Test.java","src/test/java/org/mapdb/Issue247Test.java","L151","1","0","25","4","1","1302","0","0"
"L208","Issue249Test.java","src/test/java/org/mapdb/Issue249Test.java","L151","6","0","82","4","1","1302","0","0"
"L209","Issue254Test.java","src/test/java/org/mapdb/Issue254Test.java","L151","13","0","163","4","1","1302","0","0"
"L210","Issue258Test.java","src/test/java/org/mapdb/Issue258Test.java","L151","5","0","29","1","1","1302","1","0"
"L211","Issue265Test.java","src/test/java/org/mapdb/Issue265Test.java","L151","1","0","41","1","1","1302","1","0"
"L212","Issue266Test.java","src/test/java/org/mapdb/Issue266Test.java","L151","1","0","54","2","1","1302","1","0"
"L213","Issue308Test.java","src/test/java/org/mapdb/Issue308Test.java","L151","1","0","32","2","1","1302","1","0"
"L214","Issue312Test.java","src/test/java/org/mapdb/Issue312Test.java","L151","2","0","26","1","1","1302","1","0"
"L215","Issue37Test.java","src/test/java/org/mapdb/Issue37Test.java","L151","6","0","43","11","1","1302","0","0"
"L216","Issue41Test.java","src/test/java/org/mapdb/Issue41Test.java","L151","23","0","214","10","1","1302","0","0"
"L217","Issue69Test.java","src/test/java/org/mapdb/Issue69Test.java","L151","6","0","50","9","1","1302","0","0"
"L218","Issue77Test.java","src/test/java/org/mapdb/Issue77Test.java","L151","4","0","52","3","1","1302","0","0"
"L219","Issue78Test.java","src/test/java/org/mapdb/Issue78Test.java","L151","1","0","22","4","2","1302","0","0"
"L220","Issue86Test.java","src/test/java/org/mapdb/Issue86Test.java","L151","5","0","51","3","1","1302","0","0"
"L221","Issue89Test.java","src/test/java/org/mapdb/Issue89Test.java","L151","2","0","53","3","1","1302","1","0"
"L222","Issue90Test.java","src/test/java/org/mapdb/Issue90Test.java","L151","2","0","20","5","1","1302","2","0"
"L223","IssuesTest.java","src/test/java/org/mapdb/IssuesTest.java","L151","1","0","11","2","1","1302","0","0"
"L224","JSR166TestCase.java","src/test/java/org/mapdb/JSR166TestCase.java","L151","1","0","25","1","1","1302","0","0"
"L225","LoggerVolume.java","src/test/java/org/mapdb/LoggerVolume.java","L151","1","0","155","11","2","1302","1","0"
"L226","LongConcurrentHashMapTest.java","src/test/java/org/mapdb/LongConcurrentHashMapTest.java","L151","6","0","134","4","1","1302","0","0"
"L227","LongHashMapTest.java","src/test/java/org/mapdb/LongHashMapTest.java","L151","6","0","109","9","2","1302","0","0"
"L228","MapInterfaceTest.java","src/test/java/org/mapdb/MapInterfaceTest.java","L151","196","0","1334","6","2","1302","0","0"
"L229","MapListenerTest.java","src/test/java/org/mapdb/MapListenerTest.java","L151","16","0","44","5","1","1302","0","0"
"L230","Pump_InMemory_Import_Then_Save_To_Disk.java","src/test/java/org/mapdb/Pump_InMemory_Import_Then_Save_To_Disk.java","L151","3","0","20","4","1","1302","0","0"
"L231","PumpTest.java","src/test/java/org/mapdb/PumpTest.java","L151","42","0","289","17","1","1302","0","0"
"L232","QueuesTest.java","src/test/java/org/mapdb/QueuesTest.java","L151","3","0","110","10","1","1302","0","0"
"L233","Serialization2Bean.java","src/test/java/org/mapdb/Serialization2Bean.java","L151","32","0","88","1","1","1302","0","0"
"L234","Serialization2Test.java","src/test/java/org/mapdb/Serialization2Test.java","L151","1","0","67","8","1","1302","0","0"
"L235","Serialized2DerivedBean.java","src/test/java/org/mapdb/Serialized2DerivedBean.java","L151","28","0","63","1","1","1302","0","0"
"L236","SerializerBaseTest.java","src/test/java/org/mapdb/SerializerBaseTest.java","L151","45","0","634","35","1","1302","6","0"
"L237","SerializerPojoTest.java","src/test/java/org/mapdb/SerializerPojoTest.java","L151","21","0","267","18","2","1302","2","0"
"L238","SerializerTest.java","src/test/java/org/mapdb/SerializerTest.java","L151","1","0","33","6","1","1302","0","0"
"L239","StoreAppendTest.java","src/test/java/org/mapdb/StoreAppendTest.java","L151","3","0","84","10","1","1302","1","0"
"L240","StoreDirectFreeSpaceTest.java","src/test/java/org/mapdb/StoreDirectFreeSpaceTest.java","L151","11","0","102","14","1","1302","2","0"
"L241","StoreDirectTest.java","src/test/java/org/mapdb/StoreDirectTest.java","L151","27","0","356","27","1","1302","1","0"
"L242","StoreHeapTest.java","src/test/java/org/mapdb/StoreHeapTest.java","L151","1","0","9","2","1","1302","0","0"
"L243","StoreTest.java","src/test/java/org/mapdb/StoreTest.java","L151","2","0","37","2","1","1302","1","0"
"L244","StoreWALTest.java","src/test/java/org/mapdb/StoreWALTest.java","L151","3","0","64","16","1","1302","1","0"
"L245","TestFile.java","src/test/java/org/mapdb/TestFile.java","L151","4","0","18","19","2","1302","2","0"
"L246","TestTransactions.java","src/test/java/org/mapdb/TestTransactions.java","L151","5","0","91","2","1","1302","0","0"
"L247","TreeMapExtendTest.java","src/test/java/org/mapdb/TreeMapExtendTest.java","L151","1375","0","11297","3","1","1302","0","0"
"L248","TxEngineTest.java","src/test/java/org/mapdb/TxEngineTest.java","L151","1","0","76","7","1","1302","1","0"
"L249","TxMakerTest.java","src/test/java/org/mapdb/TxMakerTest.java","L151","23","0","192","13","1","1302","5","0"
"L250","UtilsTest.java","src/test/java/org/mapdb/UtilsTest.java","L151","6","0","98","10","1","1302","1","0"
