@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L1409","0","0","0","0","0","0","0","0","2","3","2","15","2","1","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","57","72","5","0","5","0","2","0","2","0","2","15","0","2","0","57","72","5","0","5","0","2","0","2","0","2","15","0","2","0","0","10","8","2","7","0","0","0","0","0","0","1","0","0","0","0","0","17","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","false"
"L1446","0","0","0","0","0","0","0","0","4","0","0","5","4","1","0","7","11","0","0","0","0","0","1","0","0","1","1","0","0","1","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","19","22","0","0","0","0","4","0","0","0","6","5","0","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L1465","0","0","0","0","0","0","0","0","1","3","3","22","6","1","0","18","22","0","0","0","0","0","2","0","0","0","0","0","0","0","80","99","0","0","0","0","4","0","1","0","4","49","0","1","0","80","99","0","0","0","0","4","0","1","0","4","49","0","1","0","0","3","12","0","3","0","0","0","0","0","0","0","0","0","0","1","0","6","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L1507","0","0","0","0","0","0","0","0","2","1","1","4","3","1","0","4","6","0","0","0","0","0","3","0","0","0","0","0","0","0","18","21","0","0","0","0","2","0","2","0","2","6","0","2","0","18","21","0","0","0","0","2","0","2","0","2","6","0","2","0","0","0","8","0","4","0","0","0","0","0","0","1","0","0","0","0","0","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L1523","0","0","0","0","0","0","0","0","4","0","0","4","4","1","0","9","13","0","0","0","0","0","1","0","0","1","1","0","0","1","22","26","0","0","0","0","4","0","0","0","6","8","0","2","0","22","26","0","0","0","0","4","0","0","0","6","8","0","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L1546","0","0","0","0","0","0","0","0","2","3","3","15","4","1","0","10","13","0","0","0","0","0","3","0","0","0","0","0","0","0","60","73","1","0","1","0","3","0","2","0","3","35","0","2","0","60","73","1","0","1","0","3","0","2","0","3","35","0","2","0","0","5","12","0","5","0","0","0","0","0","0","1","0","1","0","1","0","10","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L1575","0","0","0","0","0","0","0","0","2","2","2","6","4","1","0","3","5","0","0","0","0","0","3","0","0","0","0","0","0","0","41","48","1","0","1","0","2","0","2","0","2","14","0","2","0","41","48","1","0","1","0","2","0","2","0","2","14","0","2","0","0","2","8","1","6","0","0","0","0","0","0","1","0","0","0","0","0","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","false"
"L1386","0.247312","1","3","1","0.169492","0.204082","10","10","2","2","2","14","3","3","0","7","13","0","0","0","0","0","3","0","0","0","0","3","3","0","49","59","0","0","0","0","6","0","2","0","6","22","0","2","0","49","59","0","0","0","0","6","0","2","0","6","22","0","2","0","0","0","27","0","5","0","0","0","0","11","0","1","0","0","0","0","0","5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L3583","0","0","0","0","0","0","0","0","2","3","2","15","6","1","0","14","16","0","0","0","0","0","3","0","0","0","0","0","0","0","65","78","1","0","1","0","2","0","2","0","2","34","0","2","0","65","78","1","0","1","0","2","0","2","0","2","34","0","2","0","0","1","10","0","12","0","0","0","0","0","0","1","0","1","0","1","0","13","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L3616","0.579679","43","1001","171","0.653165","0.698384","516","389","2","3","3","251","15","35","101","12","112","0.163265","0.0575296","34","18","16","82","0.0575296","34","2","2","0","0","1","557","790","5","98","1","97","100","0","97","0","111","397","0","103","0","557","790","5","98","1","97","100","0","97","0","111","397","0","103","0","0","1","211","1","12","0","0","0","0","16","0","1","0","2","0","3","0","6","171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","18","0","1","0","0","0","true"
"L3617","0","0","0","0","0","0","0","0","1","6","5","21","3","4","4","5","8","0","0.105263","10","0","0","3","0.105263","10","1","1","4","4","1","85","112","4","1","0","0","3","0","2","0","12","54","0","6","0","85","112","4","1","0","0","3","0","2","0","12","54","0","6","0","0","0","16","9","3","0","0","0","0","0","0","0","0","5","0","0","0","1","9","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","2","0","2","2","0","1","0","0","false"
"L3998","0.139138","13","89","17","0.185185","0.201807","90","67","2","2","2","216","7","79","174","9","157","0.193103","0.121693","46","36","28","117","0.121693","46","2","2","0","0","1","332","486","5","142","1","141","148","0","144","4","159","256","0","150","4","332","486","5","142","1","141","148","0","144","4","159","256","0","150","4","0","2","281","0","75","0","0","0","0","13","0","1","0","2","0","2","0","8","247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","0","0","16","0","0","0","0","0","true"
"L3902","0","0","0","0","0","0","0","0","1","2","2","14","1","13","25","1","10","0","0.0298507","2","0","0","5","0.0298507","2","0","0","9","13","0","65","80","4","1","4","1","9","0","4","0","9","31","0","4","0","65","80","4","1","4","1","9","0","4","0","9","31","0","4","0","0","2","21","3","6","0","0","0","0","0","0","0","0","0","0","0","0","4","21","0","0","0","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
"L4336","0","0","0","0","0","0","0","0","1","1","1","9","1","9","12","0","7","0","0","0","0","0","8","0","0","0","0","0","0","0","40","48","7","3","7","3","7","0","7","0","7","15","0","7","0","40","48","7","3","7","3","7","0","7","0","7","15","0","7","0","0","3","18","0","24","0","0","0","0","0","0","0","0","0","0","0","0","24","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","true"
"L4956","0","0","0","0","0","0","0","0","2","2","2","16","6","3","3","5","11","0.142857","0.225352","16","16","1","6","0.225352","16","0","0","0","0","0","55","81","1","2","1","2","6","0","6","1","6","23","0","6","1","55","81","1","2","1","2","6","0","6","1","6","23","0","6","1","0","1","14","8","11","0","0","0","0","0","0","1","0","0","0","0","0","10","13","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","false"
"L4968","0","0","0","0","0","0","0","0","1","8","7","103","12","1","2","17","36","0","0.140485","110","6","0","12","0.139417","110","1","1","0","0","1","673","847","8","4","6","4","19","0","11","0","19","485","2","11","0","679","853","8","4","6","4","20","0","12","0","20","486","2","12","0","0","1","63","27","35","0","2","0","0","0","0","0","0","7","0","1","0","23","44","1","0","0","0","0","0","4","9","0","0","0","0","0","0","1","1","0","11","9","11","3","0","0","true"
"L4963","0.215363","8","113","38","0.274207","0.33092","337","320","1","5","5","158","13","3","4","20","50","0.0769231","0.0987884","106","62","1","12","0.0987884","106","1","1","0","0","1","967","1229","11","2","9","2","30","0","12","0","30","478","2","12","0","967","1229","11","2","9","2","30","0","12","0","30","478","2","12","0","0","15","199","36","35","0","2","0","0","115","0","0","0","10","0","2","0","46","59","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","13","1","21","11","0","0","true"
"L7075","0.0605644","2","8","3","0.0990712","0.118483","32","25","6","6","3","107","25","1","1","62","70","0.777778","0.232727","64","35","7","2","0.232727","64","0","0","0","0","0","211","323","1","0","1","0","8","0","8","0","8","130","0","8","0","211","323","1","0","1","0","8","0","8","0","8","130","0","8","0","0","0","38","0","9","0","2","0","0","13","0","1","0","6","0","5","0","7","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","true"
"L7194","0.238404","4","34","8","0.216495","0.239186","126","94","9","6","5","138","24","1","1","46","62","0.764706","0.184647","89","65","13","4","0.184647","89","0","0","0","0","0","393","582","1","0","1","0","16","0","16","0","16","227","0","16","0","393","582","1","0","1","0","16","0","16","0","16","227","0","16","0","0","0","62","0","17","0","0","0","0","30","0","1","0","8","0","2","0","17","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","true"
"L7326","0.343272","4","31","9","0.339806","0.333333","105","77","5","7","4","74","11","1","1","18","31","0","0.00431034","1","0","0","12","0.00431034","1","0","0","0","0","0","231","309","1","1","1","1","13","0","11","0","13","148","0","11","0","231","309","1","1","1","1","13","0","11","0","13","148","0","11","0","0","0","84","0","12","0","1","0","0","47","0","1","0","5","0","1","0","11","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","true"
"L7386","0","0","0","0","0","0","0","0","15","5","4","133","37","1","1","97","114","0.833333","0.257089","136","117","15","3","0.257089","136","0","0","0","0","0","393","642","1","0","1","0","17","0","17","0","17","240","0","17","0","393","642","1","0","1","0","17","0","17","0","17","240","0","17","0","0","4","39","1","18","0","1","0","0","0","0","1","0","9","0","7","0","20","19","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","true"
"L7552","0","0","0","0","0","0","0","0","3","1","1","5","8","1","0","10","13","0","0","0","0","0","4","0","0","0","0","0","0","0","22","27","0","0","0","0","3","0","3","0","3","9","0","3","0","22","27","0","0","0","0","3","0","3","0","3","9","0","3","0","0","0","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7577","0","0","0","0","0","0","0","0","4","1","1","9","3","1","1","7","12","0.666667","0.377358","20","20","4","2","0.377358","20","0","0","0","0","0","33","63","1","0","1","0","5","0","5","0","5","13","0","5","0","33","63","1","0","1","0","5","0","5","0","5","13","0","5","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7608","0","0","0","0","0","0","0","0","1","3","3","17","2","115","273","2","10","0.2","0.0752688","7","7","1","4","0.0752688","7","0","0","0","0","0","86","108","3","4","3","4","8","0","4","0","8","53","0","4","0","86","108","3","4","3","4","8","0","4","0","8","53","0","4","0","0","1","17","0","14","0","0","0","0","0","0","0","0","0","0","0","0","13","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","false"
"L7905","0.386278","3","16","12","0.424699","0.503788","141","133","1","5","5","23","6","3","3","11","15","0","0.104167","20","0","0","4","0.0704225","20","0","0","0","0","0","172","240","6","0","6","0","4","0","3","0","4","91","0","3","0","264","332","6","23","6","23","27","0","26","0","27","114","0","26","0","0","0","310","1","30","0","0","0","0","173","0","0","0","3","0","1","0","23","126","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","4","0","7","0","0","0","1","0","false"
"L7993","0","0","0","0","0","0","0","0","6","3","3","98","14","27","42","49","85","0.875","0.355899","184","180","28","4","0.355899","184","0","0","0","0","0","333","621","3","10","3","10","36","0","31","1","36","201","0","31","1","333","621","3","10","3","10","36","0","31","1","36","201","0","31","1","0","0","28","7","31","0","1","0","0","0","0","1","0","0","0","4","0","29","17","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","6","1","0","4","0","0","false"
"L8142","0","0","0","0","0","0","0","0","2","4","4","19","10","2","2","17","21","0.666667","0.148515","15","15","2","1","0.148515","15","0","0","0","0","0","86","134","0","0","0","0","4","0","2","0","4","63","0","2","0","86","134","0","0","0","0","4","0","2","0","4","63","0","2","0","0","0","14","0","2","0","0","0","0","0","0","1","0","3","0","1","0","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L7897","0","0","0","0","0","0","0","0","1","1","1","2","4","1","0","3","4","0","0.153846","2","0","0","2","0.153846","2","0","0","0","0","0","11","16","0","0","0","0","1","0","1","0","1","5","0","1","0","11","16","0","0","0","0","1","0","1","0","1","5","0","1","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L8446","0","0","0","0","0","0","0","0","1","1","1","5","1","1","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","21","23","3","0","3","0","2","0","2","0","2","9","0","2","0","21","23","3","0","3","0","2","0","2","0","2","9","0","2","0","0","0","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
